Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
Michael King,29,256,Maj-NL,San Diego,32,,685,73,150,27,2,18,,61,2,211,7,,1,8,8,3,,,,,585.9499999999999,2024,pitcher,32.0,14.0,9.0,,182.1,59.0,2.91,3.0,756.0,2986.0,0.65,0.19,0.12,0.41,0.26,0.08,1.157,0.289,10.4,3.46,182.1
Tyler Kinley,33,276,Maj-NL,Colorado,67,,246,44,61,14,2,11,,33,2,72,2,,3,2,11,0,,,,,144.9,2024,pitcher,0.0,6.0,1.0,12.0,64.0,44.0,6.19,2.0,285.0,1187.0,0.63,0.13,0.16,0.38,0.26,0.08,1.469,0.301,10.1,2.18,64.0
George Kirby,26,269,Maj-AL,Seattle,33,,740,82,181,38,3,22,,23,0,179,7,,5,8,24,6,,,,,513.6500000000001,2024,pitcher,33.0,14.0,11.0,,191.0,75.0,3.53,0.0,778.0,2968.0,0.68,0.15,0.11,0.43,0.21,0.09,1.068,0.292,8.4,7.78,191.0
Andrew Kittredge,34,267,Maj-NL,St. Louis,74,,263,26,60,12,1,10,,20,2,67,0,,3,6,11,0,,,,,203.5,2024,pitcher,0.0,5.0,5.0,1.0,70.2,22.0,2.8,1.0,287.0,1029.0,0.69,0.16,0.14,0.46,0.26,0.07,1.132,0.265,8.5,3.35,70.2
Landon Knack,26,235,Maj-NL,Los Angeles,18,,293,34,66,10,2,16,,22,1,74,3,,1,2,7,0,,,,,198.9,2024,pitcher,12.0,3.0,5.0,1.0,76.0,34.0,4.03,0.0,319.0,1280.0,0.63,0.17,0.1,0.3,0.23,0.1,1.158,0.245,8.8,3.36,76.0
Jack Kochanowicz,23,265,Maj-AL,Los Angeles,11,,247,30,68,14,0,7,,10,1,25,8,,0,16,2,2,,,,,89.9,2024,pitcher,11.0,2.0,6.0,,65.1,29.0,3.99,0.0,266.0,859.0,0.68,0.15,0.07,0.57,0.23,0.05,1.194,0.284,3.4,2.5,65.1
Jared Koenig,30,262,Maj-NL,Milwaukee,56,,239,22,55,5,1,4,,23,4,63,4,,0,3,5,1,,,,,186.29999999999998,2024,pitcher,6.0,9.0,4.0,1.0,62.2,17.0,2.44,1.0,268.0,1025.0,0.66,0.19,0.1,0.48,0.2,0.08,1.245,0.297,9.0,2.74,62.2
Michael Kopech,28,234,"Maj-AL,Maj-NL","Chicago,Los Angeles",77,,266,30,49,6,0,10,,41,3,98,5,,5,6,6,3,,,,,256.0,2024,pitcher,1.0,7.0,8.0,15.0,76.2,29.0,3.4,1.0,318.0,1317.0,0.64,0.17,0.14,0.38,0.16,0.08,1.174,0.239,11.5,2.39,76.2
Dean Kremer,28,270,Maj-AL,Baltimore,24,,493,72,110,19,0,18,,51,0,123,3,,5,6,6,3,,,,,323.84999999999997,2024,pitcher,24.0,8.0,10.0,,129.2,59.0,4.1,1.0,553.0,2171.0,0.64,0.18,0.09,0.42,0.19,0.1,1.242,0.258,8.5,2.41,129.2
Chad Kuhl,31,274,Maj-AL,Chicago,31,,205,33,56,11,1,5,,25,1,54,6,,1,5,1,1,,,,,118.30000000000001,2024,pitcher,1.0,0.0,2.0,1.0,53.1,30.0,5.06,0.0,240.0,981.0,0.58,0.16,0.1,0.46,0.25,0.05,1.519,0.347,9.1,2.16,53.1
Peter Lambert,27,303,Maj-NL,Colorado,28,,242,42,73,12,4,7,,29,2,50,2,,5,5,6,1,,,,,100.10000000000001,2024,pitcher,3.0,2.0,5.0,,61.1,39.0,5.72,2.0,280.0,1039.0,0.63,0.15,0.09,0.37,0.31,0.07,1.663,0.347,7.3,1.72,61.1
Derek Law,33,265,Maj-NL,Washington,75,,333,31,82,11,1,7,,24,0,76,1,,6,11,7,1,,,,,240.8,2024,pitcher,0.0,7.0,4.0,1.0,90.0,26.0,2.6,0.0,365.0,1368.0,0.65,0.15,0.13,0.48,0.29,0.05,1.178,0.293,7.6,3.17,90.0
Justin Lawrence,29,266,Maj-NL,Colorado,56,,233,52,73,11,1,9,,33,1,45,7,,4,11,8,2,,,,,72.95,2024,pitcher,0.0,4.0,4.0,2.0,59.2,43.0,6.49,2.0,279.0,1082.0,0.6,0.17,0.09,0.53,0.27,0.02,1.777,0.35,6.8,1.36,59.2
Jos\xc3\xa9 Leclerc,30,265,Maj-AL,Texas,64,,247,33,56,9,0,7,,32,1,89,4,,2,3,11,3,,,,,211.3,2024,pitcher,0.0,6.0,5.0,1.0,66.2,32.0,4.32,1.0,288.0,1206.0,0.62,0.14,0.16,0.37,0.25,0.09,1.32,0.32,12.0,2.78,66.2
Dylan Lee,29,262,Maj-NL,Atlanta,53,,227,19,50,11,1,7,,17,4,76,0,,1,3,1,3,,,,,224.3,2024,pitcher,0.0,4.0,2.0,,61.1,14.0,2.05,0.0,246.0,879.0,0.71,0.14,0.2,0.37,0.26,0.05,1.092,0.297,11.2,4.47,61.1
Mark Leiter Jr.,33,234,"Maj-AL,Maj-NL","Chicago,New York",66,,250,35,58,10,1,8,,27,3,91,3,,0,2,7,0,,,,,214.2,2024,pitcher,0.0,5.0,5.0,,63.1,30.0,4.26,1.0,280.0,1107.0,0.62,0.16,0.17,0.47,0.25,0.08,1.342,0.331,12.9,3.37,63.1
