Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,fantasy_points,season,player_type,GS,W,L,SV,IP,ER,ERA,PO,BF,Pit,Str,StL,StS,GB/FB,LD,PU,WHIP,BAbip,SO9,SO/W,IP_numeric
CJ Abrams,22,629,Maj-NL,Washington,151,614.0,563,83,138,28,6,18,64.0,32,2,118,13,3.0,3,7,47,4,0.245,0.3,0.412,0.712,1245.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jos\xc3\xa9 Abreu,36,607,Maj-AL,Houston,152,642.0,584,68,141,24,1,22,103.0,46,1,138,6,0.0,6,16,1,1,0.241,0.301,0.399,0.7,1081.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ronald Acu\xc3\xb1a Jr.,25,618,Maj-NL,Atlanta,163,752.0,657,152,219,36,4,41,106.0,82,3,86,10,0.0,3,15,74,14,0.333,0.414,0.588,1.001,2106.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Willy Adames,27,626,Maj-NL,Milwaukee,151,646.0,560,73,124,30,2,24,81.0,72,1,167,6,0.0,6,12,5,3,0.221,0.314,0.411,0.724,1099.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ozzie Albies,26,618,Maj-NL,Atlanta,152,677.0,611,96,171,30,5,33,110.0,48,2,110,8,0.0,8,10,13,2,0.28,0.336,0.507,0.844,1418.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Nick Allen,24,629,Maj-AL,Oakland,106,329.0,303,29,67,4,2,4,20.0,17,0,52,1,6.0,2,8,5,1,0.221,0.263,0.287,0.55,406.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Pete Alonso,28,629,Maj-NL,New York,154,658.0,568,92,123,21,2,46,118.0,65,6,151,21,0.0,4,17,4,1,0.217,0.318,0.504,0.821,1355.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jose Altuve,33,607,Maj-AL,Houston,101,461.0,409,87,126,24,2,21,57.0,46,0,75,5,0.0,1,9,15,2,0.308,0.384,0.531,0.915,1048.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Francisco Alvarez,21,629,Maj-NL,New York,123,423.0,382,51,80,12,0,25,63.0,34,0,110,6,0.0,1,14,2,0,0.209,0.284,0.437,0.721,757.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Yordan Alvarez,26,607,Maj-AL,Houston,125,545.0,453,89,140,26,2,37,112.0,73,7,106,14,0.0,5,7,0,0,0.309,0.417,0.62,1.037,1317.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brian Anderson,30,633,Maj-NL,Milwaukee,96,361.0,318,38,72,12,3,9,40.0,36,0,108,4,0.0,3,10,1,3,0.226,0.31,0.368,0.678,559.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Tim Anderson,30,630,Maj-AL,Chicago,123,524.0,493,52,121,18,2,1,25.0,26,0,122,3,0.0,2,15,13,2,0.245,0.286,0.296,0.582,693.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Elvis Andrus,34,629,Maj-AL,Chicago,112,406.0,374,39,94,20,1,6,44.0,25,1,71,4,1.0,2,11,12,4,0.251,0.304,0.358,0.662,653.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Orlando Arcia,28,618,Maj-NL,Atlanta,143,547.0,501,66,131,25,0,17,66.0,40,0,106,3,0.0,3,14,1,0,0.261,0.318,0.413,0.731,917.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Nolan Arenado,32,639,Maj-NL,St. Louis,144,612.0,560,71,149,26,2,26,93.0,41,5,101,3,0.0,8,21,3,3,0.266,0.315,0.459,0.774,1122.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Gabriel Arias,23,634,Maj-AL,Cleveland,122,345.0,315,36,66,15,0,10,26.0,28,0,113,1,0.0,1,9,3,4,0.21,0.275,0.352,0.628,495.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Randy Arozarena,28,626,Maj-AL,Tampa Bay,153,662.0,559,95,143,20,3,23,83.0,80,1,158,18,0.0,5,10,22,10,0.256,0.364,0.426,0.79,1307.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Luis Arr\xc3\xa1ez,26,626,Maj-NL,Miami,149,625.0,582,71,204,30,3,10,69.0,35,10,34,4,1.0,3,18,3,2,0.351,0.389,0.464,0.853,1130.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Akil Baddoo,24,629,Maj-AL,Detroit,112,357.0,312,40,68,13,1,11,34.0,42,2,89,0,2.0,1,4,14,3,0.218,0.31,0.372,0.682,614.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Harrison Bader,29,643,"Maj-AL,Maj-NL","Cincinnati,New York",98,344.0,319,44,74,12,2,7,40.0,17,0,59,3,1.0,4,7,20,3,0.232,0.274,0.348,0.622,613.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ji Hwan Bae,23,629,Maj-NL,Pittsburgh,111,371.0,334,54,77,17,2,2,32.0,30,0,92,2,3.0,2,4,24,9,0.231,0.296,0.311,0.608,645.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Javier B\xc3\xa1ez,30,629,Maj-AL,Detroit,136,547.0,510,58,113,18,4,9,59.0,24,0,125,9,0.0,3,12,12,0,0.222,0.267,0.325,0.593,818.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Patrick Bailey,24,630,Maj-NL,San Francisco,97,353.0,326,29,76,18,1,7,48.0,21,0,100,3,2.0,1,8,1,0,0.233,0.285,0.359,0.644,525.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brett Baty,23,629,Maj-NL,New York,108,389.0,353,41,75,12,0,9,34.0,29,0,109,2,1.0,1,8,2,0,0.212,0.275,0.323,0.598,534.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jake Bauers,27,630,Maj-AL,New York,84,272.0,242,28,49,15,0,12,30.0,27,0,95,0,0.0,3,3,3,2,0.202,0.279,0.413,0.693,446.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Josh Bell,30,626,"Maj-AL,Maj-NL","Cleveland,Miami",152,625.0,555,53,139,30,0,22,75.0,63,2,135,2,0.0,3,13,0,1,0.25,0.327,0.423,0.751,1017.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Cody Bellinger,27,630,Maj-NL,Chicago,130,556.0,499,95,153,29,1,26,97.0,40,3,87,5,0.0,12,7,20,6,0.307,0.356,0.525,0.881,1278.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brandon Belt,35,626,Maj-AL,Toronto,105,412.0,347,53,86,23,0,19,43.0,61,1,146,2,0.0,2,5,0,0,0.248,0.362,0.478,0.84,755.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Andrew Benintendi,28,631,Maj-AL,Chicago,151,621.0,562,72,147,34,2,5,45.0,52,5,89,3,1.0,3,12,13,2,0.262,0.326,0.356,0.682,963.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Will Benson,25,629,Maj-NL,Cincinnati,108,329.0,287,51,79,15,8,11,31.0,40,0,103,1,0.0,1,3,19,3,0.275,0.365,0.498,0.863,725.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jon Berti,33,626,Maj-NL,Miami,135,430.0,393,53,115,17,3,7,33.0,29,2,80,3,2.0,3,10,16,7,0.293,0.343,0.405,0.748,759.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Christian Bethancourt,31,630,Maj-AL,Tampa Bay,104,332.0,315,49,71,16,0,11,33.0,13,0,91,0,1.0,3,6,1,0,0.225,0.254,0.381,0.635,517.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mookie Betts,30,619,Maj-NL,Los Angeles,155,705.0,595,127,179,40,1,39,107.0,97,3,109,8,0.0,5,5,14,3,0.301,0.403,0.568,0.971,1643.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Bo Bichette,25,626,Maj-AL,Toronto,137,609.0,579,70,179,30,3,20,73.0,27,0,117,2,0.0,1,14,5,3,0.309,0.342,0.475,0.817,1121.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Cavan Biggio,28,626,Maj-AL,Toronto,113,346.0,297,54,69,12,0,9,40.0,40,0,91,7,0.0,2,0,5,2,0.232,0.335,0.364,0.699,601.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Charlie Blackmon,36,629,Maj-NL,Colorado,96,413.0,359,57,100,24,5,8,40.0,39,0,55,11,0.0,4,6,4,1,0.279,0.363,0.44,0.803,743.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
JJ Bleday,25,629,Maj-AL,Oakland,82,303.0,256,35,50,11,0,10,27.0,42,0,72,2,0.0,3,3,5,1,0.195,0.31,0.355,0.666,479.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Xander Bogaerts,30,629,Maj-NL,San Diego,155,665.0,596,83,170,31,2,19,58.0,56,0,110,7,0.0,6,21,19,2,0.285,0.35,0.44,0.79,1218.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alec Bohm,26,606,Maj-NL,Philadelphia,158,664.0,604,79,164,34,0,21,103.0,48,1,103,6,0.0,6,25,4,1,0.272,0.328,0.432,0.76,1199.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alex Bregman,29,607,Maj-AL,Houston,172,773.0,663,113,172,29,5,29,105.0,99,1,97,9,0.0,2,22,3,1,0.259,0.362,0.449,0.812,1469.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Will Brennan,25,629,Maj-AL,Cleveland,138,455.0,432,41,115,24,0,5,41.0,16,2,57,5,0.0,2,4,13,5,0.266,0.299,0.356,0.655,699.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Seth Brown,30,632,Maj-AL,Oakland,112,378.0,343,33,76,19,1,14,52.0,30,1,101,2,1.0,2,6,3,1,0.222,0.286,0.405,0.692,618.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Kris Bryant,31,629,Maj-NL,Colorado,80,335.0,300,36,70,10,0,10,31.0,29,0,68,6,0.0,0,6,0,0,0.233,0.313,0.367,0.68,504.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jake Burger,27,626,"Maj-AL,Maj-NL","Chicago,Miami",143,547.0,499,71,125,28,1,34,80.0,32,0,149,12,0.0,4,4,1,1,0.251,0.309,0.515,0.824,1069.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alec Burleson,24,641,Maj-NL,St. Louis,107,347.0,315,34,77,20,1,8,36.0,23,0,45,3,1.0,2,13,3,1,0.244,0.3,0.39,0.691,539.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Byron Buxton,29,619,Maj-AL,Minnesota,86,348.0,305,49,63,17,1,17,42.0,35,2,109,4,0.0,4,3,9,0,0.207,0.293,0.436,0.729,652.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jos\xc3\xa9 Caballero,26,629,Maj-AL,Seattle,104,280.0,231,37,51,9,1,4,26.0,28,0,66,17,0.0,4,0,26,3,0.221,0.343,0.32,0.663,550.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Miguel Cabrera,40,629,Maj-AL,Detroit,98,370.0,334,21,86,20,0,4,34.0,31,0,74,2,0.0,3,11,0,0,0.257,0.322,0.353,0.675,502.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Oswaldo Cabrera,24,629,Maj-AL,New York,114,330.0,298,35,63,11,0,5,29.0,25,1,72,2,3.0,2,6,8,0,0.211,0.275,0.299,0.574,468.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Alex Call,28,629,Maj-NL,Washington,128,439.0,375,43,75,14,1,8,38.0,53,0,78,6,3.0,2,1,9,8,0.2,0.307,0.307,0.614,639.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jeimer Candelario,29,629,Maj-NL,"Chicago,Washington",140,576.0,505,77,127,39,3,22,70.0,53,1,127,13,0.0,4,11,8,1,0.251,0.336,0.471,0.807,1094.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mark Canha,34,626,Maj-NL,"Milwaukee,New York",141,516.0,443,51,117,25,1,11,62.0,49,1,81,18,0.0,6,11,11,1,0.264,0.357,0.4,0.756,898.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Victor Caratini,29,629,Maj-NL,Milwaukee,62,226.0,201,23,52,4,0,7,25.0,19,0,45,3,0.0,3,8,1,1,0.259,0.327,0.383,0.711,358.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Dylan Carlson,24,682,Maj-NL,St. Louis,76,255.0,219,27,48,8,1,5,27.0,26,0,49,7,0.0,3,4,3,0,0.219,0.318,0.333,0.651,389.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Kerry Carpenter,25,629,Maj-AL,Detroit,118,459.0,418,57,116,17,2,20,64.0,32,3,115,8,0.0,1,5,6,0,0.278,0.34,0.471,0.811,884.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Corbin Carroll,22,598,Maj-NL,Arizona,172,723.0,631,127,179,31,11,27,86.0,66,2,138,14,7.0,5,7,59,6,0.284,0.362,0.496,0.858,1724.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Triston Casas,23,646,Maj-AL,Boston,132,502.0,429,66,113,21,2,24,65.0,70,2,126,1,0.0,2,7,0,0,0.263,0.367,0.49,0.856,963.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Nick Castellanos,31,606,Maj-NL,Philadelphia,170,723.0,673,86,180,39,2,34,113.0,40,1,199,3,0.0,7,17,12,2,0.267,0.308,0.483,0.791,1410.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Harold Castro,29,634,Maj-NL,Colorado,99,270.0,258,24,65,13,0,1,31.0,9,0,66,0,1.0,2,5,1,0,0.252,0.275,0.314,0.589,361.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Rodolfo Castro,24,632,Maj-NL,"Philadelphia,Pittsburgh",92,256.0,227,21,48,7,0,6,24.0,23,1,74,5,0.0,1,4,1,4,0.211,0.297,0.322,0.618,351.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Willi Castro,26,619,Maj-AL,Minnesota,130,426.0,373,61,95,18,5,9,35.0,36,1,105,12,2.0,3,6,33,5,0.255,0.337,0.402,0.739,862.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Matt Chapman,30,626,Maj-AL,Toronto,142,589.0,516,66,123,39,2,17,54.0,63,1,168,8,0.0,2,5,4,2,0.238,0.329,0.421,0.75,978.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jazz Chisholm Jr.,25,626,Maj-NL,Miami,99,391.0,360,50,88,12,2,19,51.0,26,0,122,2,1.0,2,4,22,3,0.244,0.297,0.447,0.745,799.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Oscar Col\xc3\xa1s,24,650,Maj-AL,Chicago,75,263.0,245,32,53,9,0,5,19.0,12,1,71,2,2.0,2,5,4,3,0.216,0.257,0.314,0.571,362.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Michael Conforto,30,629,Maj-NL,San Francisco,125,470.0,406,58,97,14,0,15,58.0,53,4,106,7,0.0,4,12,4,0,0.239,0.334,0.384,0.718,796.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
William Contreras,25,626,Maj-NL,Milwaukee,143,621.0,549,86,159,38,1,17,78.0,64,2,129,5,1.0,2,23,6,1,0.29,0.368,0.455,0.823,1173.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Willson Contreras,31,640,Maj-NL,St. Louis,125,495.0,428,55,113,27,0,20,67.0,51,0,111,13,1.0,2,12,6,3,0.264,0.358,0.467,0.826,935.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Garrett Cooper,32,629,Maj-NL,"Miami,San Diego",123,457.0,422,42,106,18,1,17,61.0,31,0,132,2,0.0,2,15,0,0,0.251,0.304,0.419,0.724,750.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Carlos Correa,28,619,Maj-AL,Minnesota,141,604.0,536,61,127,32,2,18,69.0,60,3,136,5,0.0,3,30,0,0,0.237,0.318,0.405,0.723,971.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brandon Crawford,36,629,Maj-NL,San Francisco,93,320.0,283,31,55,11,1,7,38.0,28,1,81,4,1.0,4,5,3,0,0.194,0.273,0.314,0.587,458.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
J.P. Crawford,28,629,Maj-AL,Seattle,145,638.0,534,94,142,35,0,19,65.0,94,1,125,5,3.0,2,7,2,0,0.266,0.38,0.438,0.818,1155.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
C.J. Cron,33,639,"Maj-AL,Maj-NL","Colorado,Los Angeles",71,278.0,258,38,64,12,0,12,37.0,17,0,65,1,0.0,2,13,0,0,0.248,0.295,0.434,0.729,486.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jake Cronenworth,29,666,Maj-NL,San Diego,127,522.0,458,54,105,24,7,10,48.0,46,2,97,11,1.0,5,8,6,1,0.229,0.312,0.378,0.689,816.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Travis d\'Arnaud,34,618,Maj-NL,Atlanta,77,300.0,274,32,61,13,0,12,41.0,22,0,69,3,0.0,1,6,0,0,0.223,0.287,0.401,0.688,489.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Henry Davis,23,629,Maj-NL,Pittsburgh,62,255.0,225,27,48,10,0,7,24.0,25,2,69,4,0.0,1,3,3,5,0.213,0.302,0.351,0.653,388.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
J.D. Davis,30,634,Maj-NL,San Francisco,144,546.0,480,61,119,23,1,18,69.0,52,0,152,6,0.0,6,16,1,0,0.248,0.325,0.413,0.738,915.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Bryan De La Cruz,26,626,Maj-NL,Miami,155,633.0,585,60,150,32,0,19,79.0,41,0,142,1,0.0,5,18,4,1,0.256,0.304,0.409,0.712,1029.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Elly De La Cruz,21,629,Maj-NL,Cincinnati,98,427.0,388,67,91,15,7,13,44.0,35,3,144,2,1.0,1,6,35,8,0.235,0.3,0.41,0.71,900.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Paul DeJong,29,640,"Maj-AL,Maj-NL","San Francisco,St. Louis,Toronto",112,400.0,372,41,77,13,0,14,38.0,21,0,121,5,0.0,2,10,4,4,0.207,0.258,0.355,0.612,585.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Rafael Devers,26,629,Maj-AL,Boston,153,656.0,580,90,157,34,0,33,100.0,62,10,126,11,0.0,3,15,5,1,0.271,0.351,0.5,0.851,1321.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Aledmys D\xc3\xadaz,32,630,Maj-AL,Oakland,109,344.0,315,25,72,20,1,4,24.0,17,2,66,7,1.0,4,14,1,0,0.229,0.28,0.337,0.616,440.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Elias D\xc3\xadaz,32,629,Maj-NL,Colorado,141,526.0,486,48,130,25,1,14,72.0,34,0,118,2,0.0,4,12,1,0,0.267,0.316,0.409,0.725,860.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jordan Diaz,22,629,Maj-AL,Oakland,90,293.0,272,20,60,9,0,10,27.0,17,0,69,3,0.0,1,10,0,1,0.221,0.273,0.364,0.637,402.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Yainer Diaz,24,607,Maj-AL,Houston,111,391.0,369,52,101,22,0,23,60.0,11,0,79,5,0.0,6,12,0,0,0.274,0.299,0.52,0.82,764.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Yandy D\xc3\xadaz,31,626,Maj-AL,Tampa Bay,139,608.0,533,95,174,35,0,22,78.0,65,0,95,8,0.0,2,16,0,1,0.326,0.406,0.516,0.922,1238.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brendan Donovan,26,693,Maj-NL,St. Louis,95,371.0,327,48,93,10,1,11,34.0,33,2,53,9,1.0,1,4,5,1,0.284,0.365,0.422,0.787,654.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brenton Doyle,25,629,Maj-NL,Colorado,126,431.0,399,48,81,16,5,10,48.0,22,0,151,4,3.0,3,9,22,5,0.203,0.25,0.343,0.593,724.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Brandon Drury,30,629,Maj-AL,Los Angeles,125,523.0,485,61,127,30,3,26,83.0,25,0,136,8,0.0,5,14,0,2,0.262,0.306,0.497,0.803,992.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mauricio Dub\xc3\xb3n,28,608,Maj-AL,Houston,138,518.0,492,79,138,26,3,10,48.0,19,0,74,3,0.0,4,10,7,2,0.28,0.309,0.407,0.715,884.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ezequiel Duran,24,631,Maj-AL,Texas,122,439.0,406,55,112,22,2,14,46.0,23,1,120,7,1.0,2,7,8,4,0.276,0.324,0.443,0.768,790.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jarren Duran,26,671,Maj-AL,Boston,101,362.0,332,46,98,34,2,8,40.0,24,1,90,3,0.0,2,3,24,2,0.295,0.346,0.482,0.828,774.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Adam Duvall,34,630,Maj-AL,Boston,92,353.0,320,45,79,24,2,21,58.0,22,1,110,6,0.0,5,0,4,0,0.247,0.303,0.531,0.834,724.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Tommy Edman,28,629,Maj-NL,St. Louis,137,528.0,479,69,119,25,4,13,47.0,35,1,84,7,3.0,4,9,27,4,0.248,0.307,0.399,0.705,969.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Christian Encarnacion-Strand,23,629,Maj-NL,Cincinnati,63,241.0,222,29,60,7,0,13,37.0,14,0,69,5,0.0,0,5,2,0,0.27,0.328,0.477,0.805,465.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Eduardo Escobar,34,629,"Maj-AL,Maj-NL","Los Angeles,New York",99,309.0,288,32,65,6,5,6,31.0,18,0,78,0,1.0,2,7,2,1,0.226,0.269,0.344,0.613,446.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Santiago Espinal,28,626,Maj-AL,Toronto,94,256.0,232,30,59,14,0,2,25.0,18,1,36,3,2.0,1,5,2,1,0.254,0.315,0.341,0.655,381.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Thairo Estrada,27,629,Maj-NL,San Francisco,120,530.0,495,63,134,26,2,14,49.0,22,1,120,11,0.0,2,10,23,7,0.271,0.315,0.416,0.731,967.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Stuart Fairchild,27,629,Maj-NL,Cincinnati,97,255.0,219,34,50,16,2,5,28.0,25,0,69,6,3.0,2,2,10,3,0.228,0.321,0.388,0.71,463.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Kyle Farmer,32,622,Maj-AL,Minnesota,122,373.0,340,50,87,14,2,12,48.0,23,0,88,8,0.0,2,7,2,4,0.256,0.316,0.415,0.731,651.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Freddy Fermin,28,652,Maj-AL,Kansas City,70,235.0,217,26,61,10,1,9,32.0,13,0,50,1,1.0,3,11,0,0,0.281,0.321,0.461,0.781,415.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Wilmer Flores,31,630,Maj-NL,San Francisco,126,454.0,405,51,115,22,0,23,60.0,41,1,63,5,0.0,3,13,0,0,0.284,0.355,0.509,0.863,864.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mike Ford,30,629,Maj-AL,Seattle,83,251.0,219,32,50,6,0,16,34.0,24,0,81,7,0.0,1,4,0,0,0.228,0.323,0.475,0.798,468.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Nick Fortes,26,627,Maj-NL,Miami,109,325.0,296,33,60,10,0,6,26.0,17,0,60,7,3.0,2,13,4,2,0.203,0.261,0.297,0.558,428.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Jake Fraley,28,633,Maj-NL,Cincinnati,111,380.0,336,41,86,18,0,15,65.0,37,2,71,6,0.0,1,5,21,5,0.256,0.339,0.443,0.783,802.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Ty France,28,629,Maj-AL,Seattle,158,665.0,587,79,147,32,0,12,58.0,43,0,117,34,0.0,1,25,1,0,0.25,0.337,0.366,0.703,1022.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Wander Franco,22,679,Maj-AL,Tampa Bay,112,491.0,442,65,124,23,6,17,58.0,42,3,69,3,0.0,4,18,30,10,0.281,0.344,0.475,0.819,1053.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Adam Frazier,31,620,Maj-AL,Baltimore,143,460.0,417,59,99,21,2,13,60.0,32,0,68,4,4.0,2,4,11,4,0.237,0.297,0.391,0.688,805.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Freddie Freeman,33,619,Maj-NL,Los Angeles,164,742.0,647,132,212,59,2,29,102.0,74,12,123,16,0.0,5,15,23,1,0.328,0.407,0.56,0.967,1730.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
TJ Friedl,27,630,Maj-NL,Cincinnati,138,556.0,488,73,136,22,8,18,66.0,47,1,90,10,8.0,3,0,27,6,0.279,0.352,0.467,0.819,1145.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Joey Gallo,29,655,Maj-AL,Minnesota,111,332.0,282,39,50,9,1,21,40.0,48,1,142,2,0.0,0,3,1,1,0.177,0.301,0.44,0.741,583.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Adolis Garc\xc3\xada,30,600,Maj-AL,Texas,163,700.0,617,119,156,30,0,47,129.0,68,0,193,9,0.0,6,12,11,1,0.253,0.333,0.53,0.863,1562.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Luis Garc\xc3\xada Jr.,23,629,Maj-NL,Washington,122,482.0,447,61,119,18,4,9,50.0,27,1,60,0,1.0,7,10,9,4,0.266,0.304,0.385,0.688,797.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Maikel Garcia,23,629,Maj-AL,Kansas City,123,515.0,464,59,126,20,4,4,50.0,38,0,115,2,1.0,10,9,23,7,0.272,0.323,0.358,0.681,879.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Stone Garrett,27,668,Maj-NL,Washington,89,271.0,234,40,63,17,0,9,40.0,26,0,82,3,0.0,5,6,3,1,0.269,0.343,0.457,0.801,519.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Mitch Garver,32,598,Maj-AL,Texas,101,404.0,349,53,92,13,0,22,64.0,50,2,94,4,0.0,0,12,0,0,0.264,0.362,0.49,0.852,798.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Zack Gelof,23,629,Maj-AL,Oakland,69,300.0,270,40,72,20,1,14,32.0,26,1,82,3,0.0,1,5,14,2,0.267,0.337,0.504,0.84,631.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Andr\xc3\xa9s Gim\xc3\xa9nez,24,630,Maj-AL,Cleveland,153,616.0,557,76,140,27,5,15,62.0,32,3,112,20,4.0,3,10,30,6,0.251,0.314,0.399,0.712,1134.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Paul Goldschmidt,35,630,Maj-NL,St. Louis,154,687.0,593,89,159,31,0,25,80.0,87,6,161,3,0.0,3,12,11,2,0.268,0.363,0.447,0.81,1287.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
Yan Gomes,35,630,Maj-NL,Chicago,116,419.0,382,44,102,20,2,10,63.0,21,1,81,9,0.0,7,9,1,0,0.267,0.315,0.408,0.723,705.0,2023,batter,,,,,,,,,,,,,,,,,,,,,
