pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
FF,2025-06-20,93.5,-2.74,6.01,"Gallen, Zac",606115,668678,field_out,hit_into_play,,,,,5,Orlando Arcia flies out to right fielder Randal Grichuk.,R,R,R,COL,AZ,X,9.0,fly_ball,0,1,2025,-0.26,1.15,0.12,2.36,,,666160.0,2,5,Bot,173.61,95.43,,,,,7.994739170871563,-135.9957186916181,-6.291230585567808,-4.809066042707006,25.351400777751316,-16.73346440849726,3.47,1.59,295.0,92.5,50.0,94.5,2298,6.6,777430,645444,647304,545121,553993,672695,666971,694374,545341,53.91,0.009,0.013,0.0,1.0,0.0,0.0,3.0,54,2,4-Seam Fastball,7,9,7,9,9,7,7,9,Standard,Strategic,207,-0.032,-0.224,76.0,7.8,0.019,0.224,92.5,-2,-2,0.243,0.243,29,30,30,31,3,2,,,,,1.43,0.26,0.26,,6.062496659333642,1.8214536927847185,27.67997910591904,37.73427031381124,27.817322419646096,668678,pitcher,2025-06-21T22:06:26.772681
FF,2025-06-20,93.4,-2.73,5.98,"Gallen, Zac",606115,668678,,called_strike,,,,,9,Orlando Arcia flies out to right fielder Randal Grichuk.,R,R,R,COL,AZ,S,,,0,0,2025,-0.51,1.24,0.29,2.18,,,666160.0,2,5,Bot,,,,,,,8.96584628882793,-135.7760225253201,-6.888631877568509,-8.035053700499715,24.385079409768597,-15.495477879441866,3.47,1.74,,,,94.8,2404,6.8,777430,645444,647304,545121,553993,672695,666971,694374,545341,53.74,,,,,,,,54,1,4-Seam Fastball,7,9,7,9,9,7,7,9,Standard,Standard,214,0.0,-0.047,,,,0.047,,-2,-2,0.243,0.243,29,30,30,31,3,2,,,,,1.34,0.51,0.51,,,,,,,668678,pitcher,2025-06-21T22:06:26.772681
CH,2025-06-20,85.1,-3.13,5.69,"Gallen, Zac",666160,668678,single,hit_into_play,,,,,7,Mickey Moniak singles on a soft ground ball to third baseman Eugenio Suárez.,R,L,R,COL,AZ,X,5.0,ground_ball,1,0,2025,-0.88,0.26,-0.71,1.73,,,,2,5,Bot,111.97,180.86,,,,,7.504903407677132,-123.91596989157084,-3.6852870888931593,-10.339267766585504,18.455330647731778,-29.025069201815526,3.41,1.6,1.0,44.5,-54.0,86.7,1579,6.7,777430,645444,647304,545121,553993,672695,666971,694374,545341,53.82,0.234,0.246,0.9,1.0,1.0,0.0,1.0,53,2,Changeup,7,9,7,9,9,7,7,9,Infield shade,Strategic,230,0.018,0.293,70.9,8.4,0.234,-0.293,88.0,-2,-2,0.225,0.225,29,27,30,27,3,2,,,,,2.82,0.88,-0.88,,9.125621263865913,-17.66983033526952,32.6802435892862,48.0289283664599,36.485285008321455,668678,pitcher,2025-06-21T22:06:26.772681
FF,2025-06-20,91.4,-2.95,5.99,"Gallen, Zac",666160,668678,,ball,,,,,11,Mickey Moniak singles on a soft ground ball to third baseman Eugenio Suárez.,R,L,R,COL,AZ,B,,,0,0,2025,-0.22,1.1,-0.41,4.15,,,,2,5,Bot,,,,,,,6.923477711072025,-133.19265096213272,-1.2537501974722924,-3.850804180792649,22.518037231813967,-18.81064882987064,3.56,1.61,,,,92.8,2340,6.6,777430,645444,647304,545121,553993,672695,666971,694374,545341,53.92,,,,,,,,53,1,4-Seam Fastball,7,9,7,9,9,7,7,9,Infield shade,Standard,208,0.0,0.04,,,,-0.04,,-2,-2,0.225,0.225,29,27,30,27,3,2,,,,,1.57,0.22,-0.22,,,,,,,668678,pitcher,2025-06-21T22:06:26.772681
KC,2025-06-20,79.1,-2.89,5.98,"Gallen, Zac",686668,668678,field_out,hit_into_play,,,,,6,Brenton Doyle lines out sharply to left fielder Lourdes Gurriel Jr.,R,R,R,COL,AZ,X,7.0,line_drive,1,0,2025,0.28,-0.75,0.42,2.33,,,,1,5,Bot,69.35,75.73,,,,,6.720213523633649,-115.2505607600074,0.096263340827511,1.479440867260572,17.338794657049156,-39.13247415728939,3.43,1.67,335.0,101.3,19.0,80.0,2458,6.4,777430,645444,647304,545121,553993,672695,666971,694374,545341,54.11,0.363,0.431,0.0,1.0,0.0,0.0,5.0,52,2,Knuckle Curve,7,9,7,9,9,7,7,9,Standard,Strategic,36,-0.021,-0.295,69.4,7.6,0.665,0.295,101.3,-2,-2,0.246,0.246,29,27,30,27,3,2,,,,,4.33,-0.28,-0.28,,16.271806511412816,-8.388648570201639,28.733763950825708,40.05850374810416,32.82954090142814,668678,pitcher,2025-06-21T22:06:26.772681
FF,2025-06-20,91.0,-2.67,5.98,"Gallen, Zac",686668,668678,,ball,,,,,12,Brenton Doyle lines out sharply to left fielder Lourdes Gurriel Jr.,R,R,R,COL,AZ,B,,,0,0,2025,-0.15,1.23,1.22,3.47,,,,1,5,Bot,,,,,,,10.14317775826334,-132.38836430191802,-3.1500948818173926,-3.463380667584624,22.284828794367055,-17.040570506729736,3.43,1.67,,,,92.3,2265,6.6,777430,645444,647304,545121,553993,672695,666971,694374,545341,53.88,,,,,,,,52,1,4-Seam Fastball,7,9,7,9,9,7,7,9,Standard,Strategic,207,0.0,0.039,,,,-0.039,,-2,-2,0.246,0.246,29,27,30,27,3,2,,,,,1.47,0.15,0.15,,,,,,,668678,pitcher,2025-06-21T22:06:26.772681
KC,2025-06-20,79.3,-3.12,5.88,"Gallen, Zac",669911,668678,strikeout,swinging_strike_blocked,,,,,14,Michael Toglia strikes out swinging.,R,L,R,COL,AZ,S,2.0,,2,2,2025,0.27,-0.79,0.12,0.66,,,,0,5,Bot,,,,,,,6.607708139419191,-115.52703321455778,-3.2955047779198203,1.4308239314783928,17.435685618626,-39.0303879302119,3.83,1.81,,,,80.2,2561,6.5,777430,645444,647304,545121,553993,672695,666971,694374,545341,54.04,,0.0,0.0,1.0,0.0,0.0,,51,5,Knuckle Curve,7,9,7,9,9,7,7,9,Infield shade,Standard,33,-0.031,-0.227,62.9,9.2,,0.227,,-2,-2,0.277,0.277,29,26,30,27,3,2,,,,,4.35,-0.27,0.27,,27.900722872979784,-27.973617377770516,46.80583753661402,38.86565815820625,43.62131576401771,668678,pitcher,2025-06-21T22:06:26.772681
KC,2025-06-20,79.8,-3.06,5.84,"Gallen, Zac",669911,668678,,ball,,,,,14,Michael Toglia strikes out swinging.,R,L,R,COL,AZ,B,,,1,2,2025,0.22,-0.72,0.69,0.47,,,,0,5,Bot,,,,,,,7.852033291107408,-116.1307801114074,-3.82320295165599,0.7424212721208108,19.149038482757575,-38.291761140291726,3.83,1.76,,,,80.4,2425,6.4,777430,645444,647304,545121,553993,672695,666971,694374,545341,54.06,,,,,,,,51,4,Knuckle Curve,7,9,7,9,9,7,7,9,Infield shade,Strategic,37,0.0,0.04,,,,-0.04,,-2,-2,0.277,0.277,29,26,30,27,3,2,,,,,4.26,-0.22,0.22,,,,,,,668678,pitcher,2025-06-21T22:06:26.772681
KC,2025-06-20,79.0,-3.07,5.85,"Gallen, Zac",669911,668678,,swinging_strike,,,,,14,Michael Toglia strikes out swinging.,R,L,R,COL,AZ,S,,,1,1,2025,0.24,-0.7,0.41,1.26,,,,0,5,Bot,,,,,,,7.149147196224535,-114.95712767407532,-1.987054109792473,0.9644398805339994,18.52749588305846,-38.322904327652346,3.83,1.81,,,,79.5,2418,6.3,777430,645444,647304,545121,553993,672695,666971,694374,545341,54.19,,,,,,,,51,3,Knuckle Curve,7,9,7,9,9,7,7,9,Infield shade,Strategic,38,0.0,-0.056,65.5,9.3,,0.056,,-2,-2,0.277,0.277,29,26,30,27,3,2,,,,,4.32,-0.24,0.24,,31.677403610140377,-51.71404462956557,43.09045223745819,36.1416058298725,55.76111525906771,668678,pitcher,2025-06-21T22:06:26.772681
FF,2025-06-20,91.1,-2.82,6.09,"Gallen, Zac",669911,668678,,swinging_strike,,,,,2,Michael Toglia strikes out swinging.,R,L,R,COL,AZ,S,,,1,0,2025,-0.38,1.2,0.1,3.29,,,,0,5,Bot,,,,,,,8.16246516957926,-132.56362989005504,-3.7851700816389697,-6.073591848290827,24.877115220821626,-17.36060210049135,3.83,1.81,,,,91.7,2375,6.4,777430,645444,647304,545121,553993,672695,666971,694374,545341,54.1,,,,,,,,51,2,4-Seam Fastball,7,9,7,9,9,7,7,9,Infield shade,Strategic,206,0.0,-0.049,75.2,7.1,,0.049,,-2,-2,0.277,0.277,29,26,30,27,3,2,,,,,1.52,0.38,-0.38,,14.46668607553345,7.582012357815681,35.826228494594055,38.290243488274726,17.69586599538814,668678,pitcher,2025-06-21T22:06:26.772681
