pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
CH,2025-06-20,84.2,1.82,5.32,"Bichette, Bo",666182,641302,single,hit_into_play,,,,,14,Bo Bichette singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,X,7.0,line_drive,1,2,2025,1.38,-0.12,0.99,1.75,,,,0,4,Bot,98.5,83.73,,,,,-4.703464038465515,-122.39625689261572,-1.5845435922080469,14.802056396338136,27.69615307244331,-33.22059313592172,3.77,1.77,207.0,78.4,15.0,84.1,1532,6.6,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.86,0.766,0.72,0.9,1.0,1.0,0.0,4.0,32,6,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,115,0.011,0.516,66.2,8.0,0.871,-0.516,88.0,-7,-7,0.03,0.03,30,27,31,27,1,1,,,,,3.38,1.38,-1.38,,7.146503039438887,-4.4055319839301355,34.18695440578832,45.57469169842955,24.6447784304561,666182,batter,2025-06-21T22:33:39.296911
FF,2025-06-20,90.6,1.72,5.59,"Bichette, Bo",666182,641302,,foul,,,,,2,Bo Bichette singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,S,,,1,2,2025,0.65,1.26,-0.2,3.4,,,,0,4,Bot,,,,,,,-6.2225408891721266,-131.80909898012558,-2.162569395053147,8.937128560537598,30.466584306990217,-17.354132608439098,3.77,1.77,186.0,77.3,58.0,90.6,2185,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.02,,,,,,,,32,5,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,140,0.0,0.0,61.5,6.2,,0.0,88.0,-7,-7,0.03,0.03,30,27,31,27,1,1,,,,,1.54,0.65,-0.65,,-1.3060554545209102,10.920228954658548,31.125469907504097,31.197676604990075,19.01564590945239,666182,batter,2025-06-21T22:33:39.296911
CH,2025-06-20,84.1,1.87,5.25,"Bichette, Bo",666182,641302,,foul,,,,,14,Bo Bichette singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,S,,,1,2,2025,1.4,0.16,0.96,0.83,,,,0,4,Bot,,,,,,,-4.916686368609942,-122.28713869217108,-4.083098663751884,14.959337373093632,28.060741708102405,-29.92273430844256,3.77,1.77,,,,83.9,1544,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.96,,,,,,,,32,4,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,117,0.0,0.0,64.0,8.3,,0.0,,-7,-7,0.03,0.03,30,27,31,27,1,1,,,,,3.11,1.4,-1.4,,13.865310814935274,-3.1896574885569775,41.85140913525057,45.11979513432489,25.538451367520835,666182,batter,2025-06-21T22:33:39.296911
CH,2025-06-20,82.9,1.85,5.28,"Bichette, Bo",666182,641302,,foul_tip,,,,,14,Bo Bichette singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,S,,,1,1,2025,1.34,0.15,0.81,1.23,,,,0,4,Bot,,,,,,,-4.995264249890624,-120.550848574388,-2.960100071851909,14.062451683144664,27.947930492572088,-30.265969636863176,3.77,1.77,,,,82.4,1571,6.4,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.09,,,,,,,,32,3,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,116,0.0,-0.056,69.0,8.7,,0.056,,-7,-7,0.03,0.03,30,27,31,27,1,1,,,,,3.22,1.34,-1.34,,18.255303045222263,-19.25792367982135,37.49027558694775,43.491308700691256,35.45449211356484,666182,batter,2025-06-21T22:33:39.296911
FC,2025-06-20,85.9,1.91,5.55,"Bichette, Bo",666182,641302,,ball,,,,,11,Bo Bichette singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,B,,,0,1,2025,-0.22,0.85,-0.06,4.13,,,,0,4,Bot,,,,,,,-4.224791193851697,-125.08027841223048,1.2104110839558753,-1.3864784063344764,26.98997986613715,-23.77207457176539,3.81,1.73,,,,85.6,2316,6.2,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.26,,,,,,,,32,2,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,155,0.0,0.025,,,,-0.025,,-7,-7,0.03,0.03,30,27,31,27,1,1,,,,,2.25,-0.22,0.22,,,,,,,666182,batter,2025-06-21T22:33:39.296911
CH,2025-06-20,88.6,-1.88,4.97,"Bichette, Bo",666182,682790,single,hit_into_play,,,,,8,Bo Bichette singles on a line drive to left fielder Andrew Benintendi. Tyler Heineman scores.,R,R,R,TOR,CWS,X,7.0,line_drive,1,1,2025,-1.46,0.58,0.25,1.81,,623168.0,,2,8,Bot,69.16,103.15,,,,,8.345645283392802,-128.5774504993829,-2.7791933377419076,-17.972404566709383,30.648539918177,-25.412414409833485,3.77,1.77,233.0,84.8,17.0,89.1,1599,7.1,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.44,0.957,0.879,0.9,1.0,1.0,0.0,4.0,65,3,Changeup,0,7,0,7,7,1,1,7,Standard,Standard,237,0.002,0.7,71.7,8.2,1.059,-0.7,88.0,-7,-7,0.002,0.002,23,27,23,27,1,3,,,,,2.38,1.46,1.46,,16.523747461847677,-13.118100046165498,38.24210831292209,37.26424366846115,32.12155703306208,666182,batter,2025-06-21T22:33:39.296911
ST,2025-06-20,80.4,2.04,5.35,"Bichette, Bo",666182,641302,,swinging_strike,,,,,14,Bo Bichette singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,S,,,0,0,2025,-0.6,0.34,0.98,2.31,,,,0,4,Bot,,,,,,,-1.2191474503317237,-117.03488627787276,-0.5804824952945544,-5.145990704407835,25.592805543804513,-29.233697127288124,3.77,1.77,,,,80.2,2427,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.01,,,,,,,,32,1,Sweeper,0,7,0,7,7,0,0,7,Standard,Standard,262,0.0,-0.037,73.1,8.7,,0.037,,-7,-7,0.03,0.03,30,27,31,27,1,1,,,,,3.23,-0.6,0.6,,26.312968511702607,-27.66397739727003,29.701561943404077,45.578629443364065,42.6800586733376,666182,batter,2025-06-21T22:33:39.296911
FF,2025-06-20,94.6,-1.78,4.98,"Bichette, Bo",666182,682790,,ball,,,,,9,Bo Bichette singles on a line drive to left fielder Andrew Benintendi. Tyler Heineman scores.,R,R,R,TOR,CWS,B,,,0,1,2025,-1.2,1.18,0.77,1.56,,623168.0,,2,8,Bot,,,,,,,9.407959751997716,-137.18814897710092,-5.822278766348859,-17.351915138808444,35.400748588250416,-16.14394844673649,3.57,1.58,,,,94.9,2398,7.0,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.49,,,,,,,,65,2,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,228,0.0,0.012,,,,-0.012,,-7,-7,0.002,0.002,23,27,23,27,1,3,,,,,1.42,1.2,1.2,,,,,,,666182,batter,2025-06-21T22:33:39.296911
CU,2025-06-20,78.9,-1.78,5.12,"Bichette, Bo",666182,682790,,swinging_strike,,,,,6,Bo Bichette singles on a line drive to left fielder Andrew Benintendi. Tyler Heineman scores.,R,R,R,TOR,CWS,S,,,0,0,2025,1.63,0.0,0.48,2.57,,623168.0,,2,8,Bot,,,,,,,1.8720936886481103,-114.72045373028392,1.5032378434517686,13.584825343684676,27.774594831203615,-32.81495155825167,3.77,1.77,,,,78.3,2602,6.6,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.86,,,,,,,,65,1,Curveball,0,7,0,7,7,0,0,7,Standard,Standard,49,0.0,-0.04,67.4,8.0,,0.04,,-7,-7,0.002,0.002,23,27,23,27,1,3,,,,,3.76,-1.63,-1.63,,23.49377926763728,-35.56753144628843,27.70964032035679,39.67670871466959,47.19862926187342,666182,batter,2025-06-21T22:33:39.296911
FC,2025-06-20,95.9,-0.88,5.62,"Bichette, Bo",666182,691799,field_out,hit_into_play,,,,,5,"Bo Bichette grounds out, second baseman Lenyn Sosa to first baseman Ryan Noda.",R,R,R,TOR,CWS,X,4.0,ground_ball,3,2,2025,0.24,0.68,0.12,2.84,,,,0,1,Bot,143.26,163.75,,,,,2.133245507281903,-139.58860698621862,-3.310147468723902,2.6539907643903007,33.205479118454,-22.792377291614446,3.77,1.77,9.0,105.7,-17.0,97.4,2485,7.2,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.25,0.197,0.189,0.0,1.0,0.0,0.0,2.0,5,7,Cutter,0,1,0,1,1,0,0,1,Standard,Standard,166,-0.023,-0.333,,,0.211,0.333,105.7,-1,-1,0.442,0.442,23,27,23,27,1,0,,,,,1.81,-0.24,-0.24,,,,,,,666182,batter,2025-06-21T22:33:39.296911
