pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
ST,2025-06-21,80.4,-2.4,5.53,"Judge, Aaron",592450,621107,strikeout,swinging_strike,,,,,8,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,S,2.0,,2,2,2025,1.04,0.46,0.15,2.19,672724.0,,663757.0,2,3,Bot,,,,,,,3.683609101834423,-117.15044763524588,-1.6026918852304388,8.879877725630822,22.125124620981698,-27.835555639224623,4.04,1.86,,,,80.7,2453,6.4,777422,596142,656811,702616,602104,683002,681297,656775,657656,54.09,,0.0,0.0,1.0,0.0,0.0,,32,6,Sweeper,6,0,6,0,0,6,6,0,Standard,Standard,76,-0.006,-0.238,80.1,9.6,,0.238,,6,6,0.963,0.963,31,33,31,33,3,2,,,,,3.06,-1.04,-1.04,,37.27595015649567,-38.136932548212094,38.13939420500659,42.38904797949992,52.80621390202794,592450,batter,2025-06-22T00:43:52.317236
ST,2025-06-21,81.3,-2.22,5.52,"Judge, Aaron",592450,621107,,ball,,,,,14,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,B,,,1,2,2025,0.99,0.46,1.22,1.9,672724.0,,663757.0,2,3,Bot,,,,,,,5.8350252804283755,-118.33076389937683,-2.408022274257836,8.198339307541005,22.129293059268967,-27.62618534766955,4.15,1.83,,,,81.6,2399,6.4,777422,596142,656811,702616,602104,683002,681297,656775,657656,54.09,,,,,,,,32,5,Sweeper,6,0,6,0,0,6,6,0,Standard,Standard,67,0.0,0.045,,,,-0.045,,6,6,0.963,0.963,31,33,31,33,3,2,,,,,2.98,-0.99,-0.99,,,,,,,592450,batter,2025-06-22T00:43:52.317236
CU,2025-06-21,80.5,-2.29,5.62,"Judge, Aaron",592450,621107,,foul,,,,,13,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,S,,,1,2,2025,0.92,-0.54,-0.3,1.12,672724.0,,663757.0,2,3,Bot,,,,,,,2.691405676736981,-117.24586184403404,-2.3085271616566745,7.956271203165488,22.325816546381656,-36.94082303886751,4.04,1.86,1.0,43.3,-49.0,81.1,2456,6.6,777422,596142,656811,702616,602104,683002,681297,656775,657656,53.86,,,,,,,,32,4,Curveball,6,0,6,0,0,6,6,0,Standard,Standard,71,0.0,0.0,77.5,8.9,,0.0,88.0,6,6,0.963,0.963,31,33,31,33,3,2,,,,,4.05,-0.92,-0.92,,21.863344907668058,-15.000433700161452,44.921511784496985,38.4228971353457,41.74078280680128,592450,batter,2025-06-22T00:43:52.317236
ST,2025-06-21,80.9,-2.25,5.54,"Judge, Aaron",592450,621107,,swinging_strike,,,,,9,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,S,,,1,1,2025,1.15,0.06,0.41,2.35,672724.0,,663757.0,2,3,Bot,,,,,,,3.75990411198611,-117.68234555512277,-0.5177781502183183,9.83686845554974,24.219312081964787,-31.707124578900192,4.04,1.86,,,,81.1,2483,6.7,777422,596142,656811,702616,602104,683002,681297,656775,657656,53.85,,,,,,,,32,3,Sweeper,6,0,6,0,0,6,6,0,Standard,Standard,76,0.0,-0.078,79.2,9.4,,0.078,,6,6,0.963,0.963,31,33,31,33,3,2,,,,,3.44,-1.15,-1.15,,30.898447609355323,-27.631927599227932,35.548914251427256,46.0460869482635,45.92323224192185,592450,batter,2025-06-22T00:43:52.317236
ST,2025-06-21,81.0,-2.31,5.55,"Judge, Aaron",592450,621107,,swinging_strike,,,,,4,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,S,,,1,0,2025,0.85,0.68,-0.45,3.1,672724.0,,663757.0,2,3,Bot,,,,,,,2.544588159441162,-117.95535184645672,-0.1153497005633872,7.416382929933798,23.681528783546167,-26.052800414706876,4.04,1.86,,,,81.3,2414,6.6,777422,596142,656811,702616,602104,683002,681297,656775,657656,53.93,,,,,,,,32,2,Sweeper,6,0,6,0,0,6,6,0,Standard,Standard,80,0.0,-0.045,81.2,8.5,,0.045,,6,6,0.963,0.963,31,33,31,33,3,2,,,,,2.8,-0.85,-0.85,,26.961495183193566,-29.93251507135888,35.458797615855346,35.74912444096369,50.30841068146275,592450,batter,2025-06-22T00:43:52.317236
FF,2025-06-21,92.8,-2.32,5.44,"Judge, Aaron",592450,621107,,ball,,,,,13,Aaron Judge strikes out swinging.,R,R,R,NYY,BAL,B,,,0,0,2025,-0.93,0.87,-1.38,2.92,672724.0,,663757.0,2,3,Bot,,,,,,,4.46307594075177,-135.15128911129824,-2.5617310626343412,-12.38177880534725,29.4156781214768,-21.14339880527301,4.15,1.94,,,,93.1,2127,6.4,777422,596142,656811,702616,602104,683002,681297,656775,657656,54.1,,,,,,,,32,1,4-Seam Fastball,6,0,6,0,0,6,6,0,Standard,Standard,232,0.0,0.03,,,,-0.03,,6,6,0.963,0.963,31,33,31,33,3,2,,,,,1.77,0.93,0.93,,,,,,,592450,batter,2025-06-22T00:43:52.317236
CH,2025-06-21,88.7,-2.31,5.57,"Judge, Aaron",592450,621107,walk,ball,,,,,14,Aaron Judge walks. Trent Grisham to 2nd.,R,R,R,NYY,BAL,B,,,3,2,2025,-1.42,0.45,1.01,2.61,,,663757.0,2,2,Bot,,,,,,,11.173696257480431,-128.71136096650093,-2.138343329869124,-18.062426218899795,24.85929860717138,-26.90728631686258,4.03,1.86,,,,89.5,1957,6.8,777422,596142,656811,702616,602104,683002,681297,656775,657656,53.71,,0.693434,0.7,1.0,0.0,0.0,,20,6,Changeup,3,0,3,0,0,3,3,0,Standard,Standard,247,0.01,0.217,,,,-0.217,,3,3,0.817,0.817,31,33,31,33,2,1,,,,,2.45,1.42,1.42,,,,,,,592450,batter,2025-06-22T00:43:52.317236
FC,2025-06-21,89.2,-2.45,5.37,"Judge, Aaron",592450,621107,,ball,,,,,13,Aaron Judge walks. Trent Grisham to 2nd.,R,R,R,NYY,BAL,B,,,2,2,2025,0.07,0.75,-0.96,2.75,,,663757.0,2,2,Bot,,,,,,,3.518693009103401,-130.03722946839096,-2.082624917597344,0.1763099627242509,24.548798974751588,-23.40189547501673,4.02,1.84,,,,90.0,2315,6.5,777422,596142,656811,702616,602104,683002,681297,656775,657656,54.04,,,,,,,,20,5,Cutter,3,0,3,0,0,3,3,0,Standard,Standard,208,0.0,0.085,,,,-0.085,,3,3,0.817,0.817,31,33,31,33,2,1,,,,,2.08,-0.07,-0.07,,,,,,,592450,batter,2025-06-22T00:43:52.317236
ST,2025-06-21,80.7,-2.34,5.51,"Judge, Aaron",592450,621107,,ball,,,,,14,Aaron Judge walks. Trent Grisham to 2nd.,R,R,R,NYY,BAL,B,,,1,2,2025,1.06,-0.06,1.46,0.98,,,663757.0,2,2,Bot,,,,,,,6.474906002035751,-117.29127278831253,-3.2358098182478217,8.362097400335868,23.928128424779132,-32.29462843106525,3.94,1.8,,,,80.8,2492,6.6,777422,596142,656811,702616,602104,683002,681297,656775,657656,53.87,,,,,,,,20,4,Sweeper,3,0,3,0,0,3,3,0,Standard,Standard,72,0.0,0.038,,,,-0.038,,3,3,0.817,0.817,31,33,31,33,2,1,,,,,3.59,-1.06,-1.06,,,,,,,592450,batter,2025-06-22T00:43:52.317236
CH,2025-06-21,87.9,-2.24,5.48,"Judge, Aaron",592450,621107,,called_strike,,,,,9,Aaron Judge walks. Trent Grisham to 2nd.,R,R,R,NYY,BAL,S,,,1,1,2025,-1.32,0.22,0.72,2.02,,,663757.0,2,2,Bot,,,,,,,9.99353667723406,-127.70111634164311,-2.7707151495736886,-16.450020267062776,24.45465918396984,-29.401551823843437,3.95,1.84,,,,88.9,1694,6.8,777422,596142,656811,702616,602104,683002,681297,656775,657656,53.66,,,,,,,,20,3,Changeup,3,0,3,0,0,3,3,0,Standard,Standard,247,0.0,-0.06,,,,0.06,,3,3,0.817,0.817,31,33,31,33,2,1,,,,,2.72,1.32,1.32,,,,,,,592450,batter,2025-06-22T00:43:52.317236
