pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
SI,2025-06-20,92.6,-2.33,5.84,"Goldschmidt, Paul",502671,608372,field_out,hit_into_play,,,,,4,Paul Goldschmidt flies out to center fielder Colton Cowser.,R,R,R,NYY,BAL,X,8.0,fly_ball,1,2,2025,-1.4,0.76,-0.65,2.55,,518934.0,,0,4,Bot,138.45,91.34,,,,,7.327485784515337,-134.5526550557009,-4.214410213122934,-18.60226180239669,31.086184579659022,-22.265281562594048,3.48,1.58,272.0,78.5,33.0,92.4,2205,6.4,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.13,0.051,0.062,0.0,1.0,0.0,0.0,3.0,36,4,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,212,-0.039,-0.194,71.8,7.0,0.092,0.194,88.0,1,1,0.748,0.748,35,37,36,38,3,2,,,,,1.92,1.4,1.4,,6.037218692875434,6.3316370308715015,28.913917404793647,33.837710303870864,21.46140549054953,502671,batter,2025-06-21T22:33:25.129346
ST,2025-06-20,83.5,-2.41,5.91,"Goldschmidt, Paul",502671,608372,,called_strike,,,,,9,Paul Goldschmidt flies out to center fielder Colton Cowser.,R,R,R,NYY,BAL,S,,,1,1,2025,0.82,0.3,0.61,1.81,,518934.0,,0,4,Bot,,,,,,,5.352009398979261,-121.5650590244445,-3.585715571702255,7.008536957799749,24.217791400137397,-28.721157008937535,3.44,1.69,,,,83.5,2594,6.3,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.19,,,,,,,,36,3,Sweeper,3,2,3,2,2,3,3,2,Standard,Standard,55,0.0,-0.072,,,,0.072,,1,1,0.748,0.748,35,37,36,38,3,2,,,,,2.97,-0.82,-0.82,,,,,,,502671,batter,2025-06-21T22:33:25.129346
SI,2025-06-20,93.0,-2.42,5.91,"Goldschmidt, Paul",502671,608372,,foul,,,,,13,Paul Goldschmidt flies out to center fielder Colton Cowser.,R,R,R,NYY,BAL,S,,,1,0,2025,-1.33,0.98,-1.11,2.34,,518934.0,,0,4,Bot,,,,,,,6.292428735986297,-135.20959510411163,-5.513885134628451,-17.683869166152824,29.894046375995575,-19.13200567835436,3.48,1.58,125.0,74.3,11.0,93.0,2319,6.4,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.14,,,,,,,,36,2,Sinker,3,2,3,2,2,3,3,2,Standard,Standard,212,0.0,-0.036,69.5,6.5,,0.036,88.0,1,1,0.748,0.748,35,37,36,38,3,2,,,,,1.66,1.33,1.33,,-10.731756420039856,19.82533341518594,43.08389488803738,28.901912385594805,5.8665881501169785,502671,batter,2025-06-21T22:33:25.129346
FF,2025-06-20,92.8,-2.54,5.98,"Goldschmidt, Paul",502671,608372,,ball,,,,,11,Paul Goldschmidt flies out to center fielder Colton Cowser.,R,R,R,NYY,BAL,B,,,0,0,2025,-0.41,1.36,-1.86,4.11,,518934.0,,0,4,Bot,,,,,,,2.632950054182313,-135.1733790779744,-1.9882731847610091,-5.567113599623874,29.59642396991456,-15.228637980822068,3.49,1.77,,,,92.8,2365,6.3,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.23,,,,,,,,36,1,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,212,0.0,0.038,,,,-0.038,,1,1,0.748,0.748,35,37,36,38,3,2,,,,,1.28,0.41,0.41,,,,,,,502671,batter,2025-06-21T22:33:25.129346
FS,2025-06-20,87.7,-2.36,6.03,"Goldschmidt, Paul",502671,608372,field_out,hit_into_play,,,,,13,Paul Goldschmidt grounds out to first baseman Coby Mayo. Austin Wells to 2nd.,R,R,R,NYY,BAL,X,3.0,ground_ball,0,1,2025,-0.85,0.31,-0.17,0.94,,,669224.0,1,2,Bot,144.72,179.55,,,,,7.060399549412896,-127.41310247198491,-6.855682635425033,-10.62952343143862,24.656264137769877,-27.66635731769205,3.48,1.58,46.0,51.9,8.0,88.0,1929,6.4,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.09,0.114,0.099,0.0,1.0,0.0,0.0,1.0,20,2,Split-Finger,2,2,2,2,2,2,2,2,Standard,Standard,219,-0.018,-0.273,71.4,8.6,0.126,0.273,88.0,0,0,0.553,0.553,35,37,36,38,2,1,,,,,2.65,0.85,0.85,,21.015445562028084,-11.14911950448497,40.58059243495194,40.08972089795101,33.294438509247925,502671,batter,2025-06-21T22:33:25.129346
ST,2025-06-20,83.7,-2.35,6.04,"Goldschmidt, Paul",502671,608372,,called_strike,,,,,5,Paul Goldschmidt grounds out to first baseman Coby Mayo. Austin Wells to 2nd.,R,R,R,NYY,BAL,S,,,0,0,2025,0.75,0.51,-0.15,2.76,,,669224.0,1,2,Bot,,,,,,,3.5914309789112995,-121.91800785508735,-2.1756913041580774,6.726583627530095,23.949021915328025,-26.82983518923361,3.53,1.72,,,,83.2,2591,5.9,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.57,,,,,,,,20,1,Sweeper,2,2,2,2,2,2,2,2,Standard,Standard,69,0.0,-0.04,,,,0.04,,0,0,0.553,0.553,35,37,36,38,2,1,,,,,2.73,-0.75,-0.75,,,,,,,502671,batter,2025-06-21T22:33:25.129346
FF,2025-06-20,94.3,-1.75,6.16,"Goldschmidt, Paul",502671,656240,field_out,hit_into_play,,,,,3,"Paul Goldschmidt grounds out, second baseman Jordan Westburg to first baseman Ryan O'Hearn.",R,R,R,NYY,BAL,X,4.0,ground_ball,1,0,2025,-0.23,1.31,0.6,2.97,,,,2,8,Bot,134.59,139.01,,,,,6.707207147128775,-137.06624374346177,-5.545227561993198,-4.447063816195908,31.842662575973673,-14.6134537526984,3.48,1.58,12.0,99.8,-13.0,95.4,2218,7.1,777438,596142,656811,676059,602104,683002,666185,681297,657656,53.39,0.206,0.181,0.0,1.0,0.0,0.0,2.0,74,2,4-Seam Fastball,3,5,3,5,5,3,3,5,Standard,Standard,210,-0.016,-0.295,74.4,7.5,0.206,0.295,99.8,-2,-2,0.087,0.087,29,37,29,38,1,4,,,,,1.27,0.23,0.23,,8.949449510652475,12.46847044752151,21.45395694283462,48.81455927578112,18.35180965427829,502671,batter,2025-06-21T22:33:25.129346
SL,2025-06-20,85.0,-1.96,5.99,"Goldschmidt, Paul",502671,656240,,ball,,,,,9,"Paul Goldschmidt grounds out, second baseman Jordan Westburg to first baseman Ryan O'Hearn.",R,R,R,NYY,BAL,B,,,0,0,2025,0.24,-0.39,0.61,1.5,,,,2,8,Bot,,,,,,,5.635963362749668,-123.64298348084516,-3.415125001021555,1.2182785213221785,26.58780973635469,-35.619675252308774,3.44,1.57,,,,86.0,2073,7.1,777438,596142,656811,676059,602104,683002,666185,681297,657656,53.35,,,,,,,,74,1,Slider,3,5,3,5,5,3,3,5,Standard,Standard,53,0.0,0.04,,,,-0.04,,-2,-2,0.087,0.087,29,37,29,38,1,4,,,,,3.57,-0.24,-0.24,,,,,,,502671,batter,2025-06-21T22:33:25.129346
FF,2025-06-20,92.8,-2.49,6.01,"Goldschmidt, Paul",502671,608372,walk,ball,,,,,14,Paul Goldschmidt walks.,R,R,R,NYY,BAL,B,,,3,2,2025,-0.55,1.51,1.25,1.72,,,,0,1,Bot,,,,,,,10.733355423790693,-134.4433586449158,-8.388339134608762,-9.16980564036242,31.45700805310285,-12.056908104253637,3.51,1.68,,,,92.2,2454,6.3,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.17,,0.693481,0.7,1.0,0.0,0.0,,8,9,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,208,0.039,0.371,,,,-0.371,,-2,-2,0.342,0.342,35,37,36,38,1,0,,,,,1.17,0.55,0.55,,,,,,,502671,batter,2025-06-21T22:33:25.129346
CH,2025-06-20,92.0,-2.28,5.6,"Goldschmidt, Paul",502671,666974,field_out,hit_into_play,,,,,13,Paul Goldschmidt flies out sharply to center fielder Colton Cowser.,R,R,R,NYY,BAL,X,8.0,fly_ball,2,2,2025,-1.58,0.27,-1.12,1.29,,,518934.0,0,6,Bot,140.13,52.98,,,,,6.359072554963926,-133.65739911045435,-5.610991884672531,-20.32461379135437,31.098055866687172,-27.851317810653757,3.48,1.58,363.0,101.3,39.0,91.5,1907,6.2,777438,596142,691723,676059,602104,676679,666185,681297,657656,54.26,0.169,0.317,0.0,1.0,0.0,0.0,5.0,55,5,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,264,-0.048,-0.233,71.4,8.3,0.622,0.233,101.3,0,0,0.625,0.625,31,37,31,38,1,3,,,,,2.45,1.58,1.58,,21.06118720719708,-5.99390117996623,50.86672271912563,29.216991778386085,25.19287413077111,502671,batter,2025-06-21T22:33:25.129346
