pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
FC,2025-06-20,87.2,1.91,5.49,"Springer, George",543807,641302,single,hit_into_play,,,,,4,George Springer singles on a line drive to left fielder Andrew Benintendi.,R,R,L,TOR,CWS,X,7.0,line_drive,0,0,2025,-0.19,0.75,-0.58,2.98,,,,0,5,Bot,53.3,110.42,,,,,-5.627329241708769,-126.93870504450204,-1.3775636593971177,-0.894167231590137,26.968131649973795,-24.060737668352058,3.63,1.69,200.0,76.0,19.0,87.5,2364,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.96,0.977,0.885,0.9,1.0,1.0,0.0,4.0,38,1,Cutter,0,7,0,7,7,0,0,7,Standard,Standard,152,0.01,0.448,76.0,7.0,1.035,-0.448,88.0,-7,-7,0.022,0.022,30,35,31,36,2,1,,,,,2.26,-0.19,0.19,,6.480704793901501,6.976462309884789,33.47772886208258,27.991657252949047,19.24038130881314,543807,batter,2025-06-21T22:33:49.460394
SI,2025-06-20,90.7,2.55,4.79,"Springer, George",543807,656457,field_out,hit_into_play,,,,,14,"George Springer grounds out, second baseman Lenyn Sosa to first baseman Ryan Noda.",R,R,L,TOR,CWS,X,4.0,ground_ball,2,2,2025,1.46,0.64,0.66,1.52,,,,0,9,Bot,141.44,158.3,,,,,-7.786649822105465,-131.79311408680087,-3.5263279080000136,18.714348163282672,31.013705462938496,-24.1430246793153,3.63,1.69,15.0,96.9,-5.0,89.7,2214,6.0,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.51,0.291,0.28,0.0,1.0,0.0,0.0,2.0,72,5,Sinker,1,7,1,7,7,1,1,7,Standard,Standard,118,-0.002,-0.227,68.1,7.6,0.346,0.227,96.9,-6,-6,0.003,0.003,31,35,32,36,1,3,,,,,2.16,1.46,-1.46,,2.9918261545135,13.31529484482896,41.871476793323154,42.6779485050533,8.011508742491136,543807,batter,2025-06-21T22:33:49.460394
ST,2025-06-20,82.8,2.72,4.88,"Springer, George",543807,656457,,ball,,,,,13,"George Springer grounds out, second baseman Lenyn Sosa to first baseman Ryan Noda.",R,R,L,TOR,CWS,B,,,1,2,2025,-0.65,-0.2,-0.24,0.95,,,,0,9,Bot,,,,,,,-5.40975105246956,-120.28570335998928,-1.857703440288476,-4.755656277589721,30.37184247195802,-33.92494382438676,3.52,1.58,,,,80.6,2373,5.6,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.94,,,,,,,,72,4,Sweeper,1,7,1,7,7,1,1,7,Standard,Standard,315,0.0,0.04,,,,-0.04,,-6,-6,0.003,0.003,31,35,32,36,1,3,,,,,3.63,-0.65,0.65,,,,,,,543807,batter,2025-06-21T22:33:49.460394
FF,2025-06-20,91.1,1.81,5.51,"Springer, George",543807,641302,field_out,hit_into_play,,,,,5,George Springer flies out to center fielder Luis Robert Jr.,R,R,L,TOR,CWS,X,8.0,fly_ball,1,2,2025,0.9,1.45,0.01,2.85,,,,0,2,Bot,160.96,53.6,,,,,-6.438788914372012,-132.37698740885537,-3.782737573957328,12.046810675006482,32.2600868676569,-14.649029219913691,3.63,1.69,370.0,97.9,32.0,90.3,2208,6.2,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.31,0.369,0.701,0.0,1.0,0.0,0.0,5.0,15,4,4-Seam Fastball,0,3,0,3,3,0,0,3,Standard,Standard,141,-0.022,-0.186,74.5,6.8,1.351,0.186,97.9,-3,-3,0.241,0.241,30,35,31,36,1,0,,,,,1.34,0.9,-0.9,,12.14279890367536,8.236400528323925,34.18587761724134,35.923840390913035,18.694944061645177,543807,batter,2025-06-21T22:33:49.460394
FC,2025-06-20,86.4,2.44,5.37,"Springer, George",543807,656457,,foul,,,,,5,"George Springer grounds out, second baseman Lenyn Sosa to first baseman Ryan Noda.",R,R,L,TOR,CWS,S,,,1,1,2025,-0.09,0.91,0.18,2.4,,,,0,9,Bot,,,,,,,-5.148213420916148,-125.69985691169768,-2.6822164346725597,0.0839259840529338,25.940942306164303,-22.159459913626016,3.63,1.69,3.0,60.5,-38.0,85.6,2277,5.8,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.66,,,,,,,,72,3,Cutter,1,7,1,7,7,1,1,7,Standard,Standard,140,0.0,-0.056,75.2,7.9,,0.056,88.0,-6,-6,0.003,0.003,31,35,32,36,1,3,,,,,2.15,-0.09,0.09,,20.91548743655019,-1.5865269066570975,35.23545394083335,38.463332448921264,23.902516907912428,543807,batter,2025-06-21T22:33:49.460394
ST,2025-06-20,80.7,1.92,5.3,"Springer, George",543807,641302,,swinging_strike,,,,,13,George Springer flies out to center fielder Luis Robert Jr.,R,R,L,TOR,CWS,S,,,1,1,2025,-1.62,0.3,-1.25,1.94,,,,0,2,Bot,,,,,,,-3.960363048653378,-117.43799942724378,-1.257642732376733,-13.935637529300168,26.389345956541597,-29.435493821403806,3.63,1.69,,,,80.3,2420,6.4,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.09,,,,,,,,15,3,Sweeper,0,3,0,3,3,0,0,3,Standard,Standard,273,0.0,-0.056,75.2,8.5,,0.056,,-3,-3,0.241,0.241,30,35,31,36,1,0,,,,,3.26,-1.62,1.62,,28.047750854746113,-29.67850903717593,43.910860297462406,21.609598884989342,35.39445165952468,543807,batter,2025-06-21T22:33:49.460394
FS,2025-06-20,82.2,2.48,4.99,"Springer, George",543807,656457,,ball,,,,,14,"George Springer grounds out, second baseman Lenyn Sosa to first baseman Ryan Noda.",R,R,L,TOR,CWS,B,,,0,1,2025,1.14,0.62,0.41,1.24,,,,0,9,Bot,,,,,,,-6.876775781541869,-119.37141851591336,-3.033642570823828,12.330048204630646,25.655120139160648,-25.880112524229595,3.59,1.62,,,,81.3,1430,6.0,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.46,,,,,,,,72,2,Split-Finger,1,7,1,7,7,1,1,7,Standard,Standard,114,0.0,0.025,,,,-0.025,,-6,-6,0.003,0.003,31,35,32,36,1,3,,,,,2.8,1.14,-1.14,,,,,,,543807,batter,2025-06-21T22:33:49.460394
FF,2025-06-20,95.9,-1.78,5.04,"Springer, George",543807,682790,field_out,hit_into_play,,,,,8,George Springer lines out to third baseman Josh Rojas.,R,R,R,TOR,CWS,X,5.0,line_drive,1,0,2025,-1.23,1.4,0.2,1.99,,,,0,7,Bot,94.16,161.29,,,,,8.084530888239165,-139.1267508016748,-5.5430585496432005,-17.90534217293347,37.02047381112136,-12.94331605469142,3.63,1.69,127.0,90.1,10.0,95.8,2392,6.8,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.68,0.597,0.561,0.0,1.0,0.0,0.0,4.0,55,2,4-Seam Fastball,0,7,0,7,7,0,0,7,Standard,Standard,230,-0.003,-0.292,79.0,8.4,0.661,0.292,90.1,-7,-7,0.009,0.009,23,35,23,36,1,2,,,,,1.13,1.23,1.23,,22.65216042708077,-14.002340842905529,39.56979651143613,38.608373534668104,29.13991317046352,543807,batter,2025-06-21T22:33:49.460394
CH,2025-06-20,83.8,1.92,5.33,"Springer, George",543807,641302,,ball,,,,,14,George Springer flies out to center fielder Luis Robert Jr.,R,R,L,TOR,CWS,B,,,0,1,2025,1.25,0.13,1.07,2.01,,,,0,2,Bot,,,,,,,-4.455949540429379,-121.79730678169034,-1.3861194393052907,13.331199910890737,27.931626996012124,-30.815992842703004,3.55,1.55,,,,83.4,1614,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.02,,,,,,,,15,2,Changeup,0,3,0,3,3,0,0,3,Standard,Standard,119,0.0,0.025,,,,-0.025,,-3,-3,0.241,0.241,30,35,31,36,1,0,,,,,3.17,1.25,-1.25,,,,,,,543807,batter,2025-06-21T22:33:49.460394
SI,2025-06-20,90.6,1.88,5.5,"Springer, George",543807,641302,,called_strike,,,,,8,George Springer flies out to center fielder Luis Robert Jr.,R,R,L,TOR,CWS,S,,,0,0,2025,1.08,0.99,-0.18,1.92,,,,0,2,Bot,,,,,,,-7.441339423354193,-131.59858266751627,-5.061405101158039,14.201501006369051,29.543162310145053,-19.761485987073733,3.71,1.7,,,,90.2,2043,6.3,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.21,,,,,,,,15,1,Sinker,0,3,0,3,3,0,0,3,Standard,Standard,135,0.0,-0.037,,,,0.037,,-3,-3,0.241,0.241,30,35,31,36,1,0,,,,,1.81,1.08,-1.08,,,,,,,543807,batter,2025-06-21T22:33:49.460394
