pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
CH,2025-06-20,84.0,1.83,5.3,"Guerrero Jr., Vladimir",665489,641302,grounded_into_double_play,hit_into_play,,,,,14,"Vladimir Guerrero Jr. grounds into a double play, second baseman Lenyn Sosa to first baseman Ryan Noda. Bo Bichette out at 2nd. Vladimir Guerrero Jr. out at 1st.",R,R,L,TOR,CWS,X,4.0,ground_ball,0,1,2025,1.13,0.15,0.36,1.56,,,666182.0,1,4,Bot,128.76,129.01,,,,,-5.658784050030556,-122.01860635086176,-2.4498197526170125,12.4913716435385,28.307132716143308,-30.365926789685904,3.7,1.68,126.0,78.5,9.0,83.6,1571,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.99,0.36,0.338,0.0,1.0,0.0,0.0,4.0,34,2,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,117,-0.012,-0.273,75.9,8.8,0.408,0.273,88.0,-7,-7,0.031,0.031,30,26,31,26,1,1,,,,,3.14,1.13,-1.13,,9.74927378534657,-23.55984386959895,30.7511009831222,40.64552443398314,46.21637175051425,665489,batter,2025-06-21T21:57:03.606324
CU,2025-06-20,79.9,-1.71,5.02,"Guerrero Jr., Vladimir",665489,682790,field_out,hit_into_play,,,,,14,Vladimir Guerrero Jr. lines out to left fielder Andrew Benintendi.,R,R,R,TOR,CWS,X,7.0,line_drive,1,2,2025,1.76,0.12,1.08,1.82,,666182.0,680718.0,2,8,Bot,75.73,104.12,,,,,2.8441016002891404,-116.0928050850658,-0.3178082243077832,14.782755870306955,28.70607819648954,-31.29770713605982,3.7,1.68,267.0,76.0,27.0,79.5,2606,6.8,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.66,0.497,0.466,0.0,1.0,0.0,0.0,4.0,67,4,Curveball,1,7,1,7,7,1,1,7,Standard,Standard,47,-0.005,-0.188,70.3,8.3,0.586,0.188,88.0,-6,-6,0.007,0.007,23,26,23,26,1,3,,,,,3.56,-1.76,-1.76,,10.867713531922607,-16.822362248667197,20.601550816742215,47.83327439663114,44.496969133809486,665489,batter,2025-06-21T21:57:03.606324
CH,2025-06-20,84.8,2.02,5.25,"Guerrero Jr., Vladimir",665489,641302,,called_strike,,,,,14,"Vladimir Guerrero Jr. grounds into a double play, second baseman Lenyn Sosa to first baseman Ryan Noda. Bo Bichette out at 2nd. Vladimir Guerrero Jr. out at 1st.",R,R,L,TOR,CWS,S,,,0,0,2025,1.29,0.17,0.9,2.26,,,666182.0,1,4,Bot,,,,,,,-5.227265260273256,-123.27866207982169,-0.8858512879946914,14.20227923616878,28.31883961443613,-30.502994694560797,3.74,1.51,,,,84.5,1459,6.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.98,,,,,,,,34,1,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,114,0.0,-0.04,,,,0.04,,-7,-7,0.031,0.031,30,26,31,26,1,1,,,,,3.05,1.29,-1.29,,,,,,,665489,batter,2025-06-21T21:57:03.606324
CU,2025-06-20,78.1,-1.77,5.08,"Guerrero Jr., Vladimir",665489,682790,,called_strike,,,,,4,Vladimir Guerrero Jr. lines out to left fielder Andrew Benintendi.,R,R,R,TOR,CWS,S,,,1,1,2025,1.46,-0.48,-0.68,2.42,,666182.0,680718.0,2,8,Bot,,,,,,,-0.374701944965081,-113.58608570958724,2.257831257201991,12.50067285815532,25.783176248811024,-37.07162034075443,3.57,1.53,,,,78.4,2685,7.1,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.4,,,,,,,,67,3,Curveball,1,7,1,7,7,1,1,7,Standard,Standard,54,0.0,-0.076,,,,0.076,,-6,-6,0.007,0.007,23,26,23,26,1,3,,,,,4.3,-1.46,-1.46,,,,,,,665489,batter,2025-06-21T21:57:03.606324
FF,2025-06-20,95.1,-1.72,4.89,"Guerrero Jr., Vladimir",665489,682790,,called_strike,,,,,9,Vladimir Guerrero Jr. lines out to left fielder Andrew Benintendi.,R,R,R,TOR,CWS,S,,,1,0,2025,-1.0,1.28,0.52,1.88,,666182.0,680718.0,2,8,Bot,,,,,,,8.21339563121891,-138.1668998743384,-5.1192111438870525,-14.742882405381245,33.78163588466865,-14.798150505344951,3.6,1.5,,,,95.7,2343,6.9,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.58,,,,,,,,67,2,4-Seam Fastball,1,7,1,7,7,1,1,7,Standard,Standard,228,0.0,-0.042,,,,0.042,,-6,-6,0.007,0.007,23,26,23,26,1,3,,,,,1.27,1.0,1.0,,,,,,,665489,batter,2025-06-21T21:57:03.606324
CU,2025-06-20,79.2,-1.84,5.08,"Guerrero Jr., Vladimir",665489,682790,,ball,,,,,12,Vladimir Guerrero Jr. lines out to left fielder Andrew Benintendi.,R,R,R,TOR,CWS,B,,,0,0,2025,1.72,0.08,1.69,2.69,,666182.0,680718.0,2,8,Bot,,,,,,,4.502453895323251,-115.09990278310822,1.645557516412092,13.923227979610417,27.17998284788597,-32.12171953846663,3.53,1.46,,,,78.8,2606,6.7,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.76,,,,,,,,67,1,Curveball,1,7,1,7,7,1,1,7,Standard,Standard,50,0.0,0.026,,,,-0.026,,-6,-6,0.007,0.007,23,26,23,26,1,3,,,,,3.64,-1.72,-1.72,,,,,,,665489,batter,2025-06-21T21:57:03.606324
CH,2025-06-20,91.3,-2.22,5.18,"Guerrero Jr., Vladimir",665489,656186,field_out,hit_into_play,,,,,11,"Vladimir Guerrero Jr. grounds out, third baseman Josh Rojas to first baseman Ryan Noda.",R,R,R,TOR,CWS,X,5.0,ground_ball,3,1,2025,-1.52,-0.05,-0.93,2.88,,666182.0,,2,6,Bot,109.37,173.43,,,,,6.457743639302837,-132.77075917548677,0.2704872240389004,-19.31516294763641,32.20830818167109,-33.06532499439543,3.7,1.68,62.0,78.1,2.0,90.1,1808,5.9,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.64,0.189,0.165,0.0,1.0,0.0,0.0,2.0,50,5,Changeup,0,7,0,7,7,0,0,7,Standard,Standard,245,-0.004,-0.356,81.1,7.9,0.234,0.356,88.0,-7,-7,0.011,0.011,32,26,33,26,1,2,,,,,2.82,1.52,1.52,,3.8036148802452017,-13.69676976689224,22.748674641297903,28.03641389744452,34.35142401067666,665489,batter,2025-06-21T21:57:03.606324
FF,2025-06-20,99.2,-0.49,5.72,"Guerrero Jr., Vladimir",665489,691799,strikeout,swinging_strike,,,,,11,Vladimir Guerrero Jr. strikes out swinging.,R,R,R,TOR,CWS,S,2.0,,1,2,2025,-0.1,1.54,-0.25,3.94,,,,2,1,Bot,,,,,,,0.9071707588860104,-144.3678757645587,-3.03445888700825,-1.61334162398898,39.13987965718631,-10.268515022514196,3.7,1.68,,,,100.7,2387,7.5,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.05,,0.0,0.0,1.0,0.0,0.0,,7,4,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,196,-0.01,-0.18,67.3,5.5,,0.18,,-1,-1,0.402,0.402,23,26,23,26,1,0,,,,,0.8,0.1,0.1,,-11.55002105624626,34.70953520689247,18.980878577727275,31.81274562239114,13.57717495245754,665489,batter,2025-06-21T21:57:03.606324
FF,2025-06-20,99.1,-0.64,5.71,"Guerrero Jr., Vladimir",665489,691799,,swinging_strike,,,,,1,Vladimir Guerrero Jr. strikes out swinging.,R,R,R,TOR,CWS,S,,,1,1,2025,-0.38,1.46,-0.66,3.46,,,,2,1,Bot,,,,,,,0.8609587322714465,-144.15446496845803,-4.156861510820874,-5.497499294844964,38.57319174183191,-11.165381571832269,3.7,1.68,,,,100.4,2384,7.4,777435,691019,676116,672820,668942,805367,643217,673357,596103,53.14,,,,,,,,7,3,4-Seam Fastball,0,1,0,1,1,0,0,1,Standard,Standard,196,0.0,-0.064,67.8,5.7,,0.064,,-1,-1,0.402,0.402,23,26,23,26,1,0,,,,,0.89,0.38,0.38,,-12.818100349271196,30.5034001593571,26.418772505579987,28.22169135401956,17.79216633860187,665489,batter,2025-06-21T21:57:03.606324
SL,2025-06-20,92.8,-2.05,5.03,"Guerrero Jr., Vladimir",665489,656186,,blocked_ball,,,,,14,"Vladimir Guerrero Jr. grounds out, third baseman Josh Rojas to first baseman Ryan Noda.",R,R,R,TOR,CWS,B,,,2,1,2025,0.3,0.56,2.81,1.06,,666182.0,,2,6,Bot,,,,,,,11.677730953264488,-134.6188321053977,-5.516267471618425,0.9317996300615669,31.630936503842076,-24.237971662395555,3.71,1.47,,,,91.9,2621,6.1,777435,691019,676116,672820,668942,805367,643217,673357,596103,54.41,,,,,,,,50,4,Slider,0,7,0,7,7,0,0,7,Standard,Standard,190,0.0,0.045,,,,-0.045,,-7,-7,0.011,0.011,32,26,33,26,1,2,,,,,2.12,-0.3,-0.3,,,,,,,665489,batter,2025-06-21T21:57:03.606324
