pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
SI,2024-09-07,94.9,-1.09,5.73,"Bellinger, Cody",641355,657376,single,hit_into_play,,,,,11,Cody Bellinger singles on a line drive to center fielder Aaron Judge.,R,L,R,CHC,NYY,X,8.0,line_drive,1,1,2024,-1.29,0.42,-1.05,3.26,,,,1,4,Bot,129.96,73.37,,,,,2.97574717130774,-138.22854243616706,-1.7774439574833925,-17.186242029894355,30.01643318805508,-26.548989216002617,3.84,1.78,274.0,99.2,13.0,94.7,2671,6.1,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.43,0.94,0.913,0.9,1.0,1.0,0.0,4.0,29,3,Sinker,0,1,0,1,1,0,0,1,Infield shade,Standard,190,0.034,0.434,65.2,7.4,1.15,-0.434,99.2,-1,-1,0.391,0.391,28,28,28,29,2,1,104.0,1,6.0,1,2.1,1.29,-1.29,36.7,15.070284770455338,8.211516947523574,24.270252802351333,41.88028365295409,24.296356974142533,641355,batter,2025-06-21T20:58:12.694704
KC,2024-09-07,83.9,-1.1,5.74,"Bellinger, Cody",641355,657376,,ball,,,,,14,Cody Bellinger singles on a line drive to center fielder Aaron Judge.,R,L,R,CHC,NYY,B,,,0,1,2024,1.25,-0.52,0.85,1.73,,,,1,4,Bot,,,,,,,2.032737920743777,-122.18076910315033,-1.7985939147203762,11.978294056957475,26.321449285121975,-37.19024707854068,3.62,1.74,,,,83.3,3071,6.0,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.45,,,,,,,,29,2,Knuckle Curve,0,1,0,1,1,0,0,1,Infield shade,Standard,46,0.0,0.024,,,,-0.024,,-1,-1,0.391,0.391,28,28,28,29,2,1,104.0,1,6.0,1,3.78,-1.25,1.25,40.3,,,,,,641355,batter,2025-06-21T20:58:12.694704
SI,2024-09-07,94.9,-1.16,5.72,"Bellinger, Cody",641355,657376,,called_strike,,,,,8,Cody Bellinger singles on a line drive to center fielder Aaron Judge.,R,L,R,CHC,NYY,S,,,0,0,2024,-1.09,0.75,-0.17,1.97,,,,1,4,Bot,,,,,,,5.024411369223022,-138.0768301216111,-5.833020632349912,-15.122937767971909,30.636506152884525,-21.50038712101301,3.65,1.74,,,,94.9,2427,6.3,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.22,,,,,,,,29,1,Sinker,0,1,0,1,1,0,0,1,Infield shade,Standard,212,0.0,-0.037,,,,0.037,,-1,-1,0.391,0.391,28,28,28,29,2,1,104.0,1,6.0,1,1.78,1.09,-1.09,43.6,,,,,,641355,batter,2025-06-21T20:58:12.694704
FF,2024-09-07,94.0,0.7,5.85,"Bellinger, Cody",641355,641482,field_out,hit_into_play,,,,,1,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,L,CHC,NYY,X,4.0,ground_ball,1,2,2024,0.1,1.6,-0.66,3.32,,,,2,9,Bot,148.47,151.58,,,,,-3.7429512311481976,-136.76114499567177,-4.335234475740619,2.144004643607558,30.69157761655949,-11.380328573774149,3.84,1.78,40.0,98.7,-2.0,93.2,2369,5.9,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.65,0.366,0.365,0.0,1.0,0.0,0.0,2.0,69,4,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,164,-0.014,-0.18,64.5,7.1,0.417,0.18,98.7,-2,-2,0.014,0.014,29,28,30,29,2,3,6.0,1,5.0,1,0.99,0.1,0.1,59.0,13.40426829045796,1.1095968761238504,23.430181149548982,37.425797614540656,30.267994665304805,641355,batter,2025-06-21T20:58:12.694704
ST,2024-09-07,77.6,1.51,5.41,"Bellinger, Cody",641355,641482,,called_strike,,,,,6,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,L,CHC,NYY,S,,,1,1,2024,-1.58,-0.49,0.54,2.76,,,,2,9,Bot,,,,,,,0.8002519812769671,-112.88759867903266,2.160862655666127,-13.5461712409033,22.428250335474512,-37.026920029573006,3.64,1.76,,,,76.3,2700,5.6,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.91,,,,,,,,69,3,Sweeper,0,2,0,2,2,0,0,2,Infield shade,Standard,296,0.0,-0.064,,,,0.064,,-2,-2,0.014,0.014,29,28,30,29,2,3,6.0,1,5.0,1,4.31,-1.58,-1.58,45.0,,,,,,641355,batter,2025-06-21T20:58:12.694704
FC,2024-09-07,89.6,1.1,5.6,"Bellinger, Cody",641355,641482,,ball,,,,,13,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,L,CHC,NYY,B,,,0,1,2024,-0.56,0.78,-0.88,1.49,,,,2,9,Bot,,,,,,,-3.672892253165371,-130.46100618908395,-5.816924685470481,-5.685297238189518,24.960863927749195,-22.263027038259217,3.75,1.8,,,,89.2,2477,5.8,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.72,,,,,,,,69,2,Cutter,0,2,0,2,2,0,0,2,Infield shade,Standard,178,0.0,0.029,,,,-0.029,,-2,-2,0.014,0.014,29,28,30,29,2,3,6.0,1,5.0,1,2.03,-0.56,-0.56,51.0,,,,,,641355,batter,2025-06-21T20:58:12.694704
FF,2024-09-07,92.1,0.69,5.8,"Bellinger, Cody",641355,641482,,foul,,,,,5,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,L,CHC,NYY,S,,,0,0,2024,0.48,1.54,-0.12,2.49,,,,2,9,Bot,,,,,,,-3.065558490992012,-133.96835488680782,-5.851693890608064,6.451806740429829,29.149055446350665,-12.610977272890636,3.84,1.78,118.0,92.9,9.0,91.4,2259,5.9,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.62,,,,,,,,69,1,4-Seam Fastball,0,2,0,2,2,0,0,2,Standard,Standard,155,0.0,-0.041,73.4,8.3,,0.041,92.9,-2,-2,0.014,0.014,29,28,30,29,2,3,6.0,1,5.0,1,1.15,0.48,0.48,54.4,23.15046901585256,-17.36483228871903,32.791922562677435,32.96614933552458,39.64292075686871,641355,batter,2025-06-21T20:58:12.694704
FC,2024-09-07,92.4,-1.42,5.58,"Bellinger, Cody",641355,657376,field_out,hit_into_play,,,,,1,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,R,CHC,NYY,X,4.0,ground_ball,3,2,2024,0.01,0.74,-0.39,3.3,,,683737.0,2,1,Bot,147.96,154.12,,,,,2.580011412008148,-134.56568279661548,-1.6296239867979003,-0.4463485237788367,28.449887508455937,-22.98423516400255,3.84,1.78,8.0,89.0,-22.0,92.5,2702,6.2,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.27,0.054,0.07,0.0,1.0,0.0,0.0,2.0,9,6,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,200,-0.024,-0.32,64.5,7.2,0.054,0.32,89.0,-1,-1,0.416,0.416,28,28,28,29,1,0,104.0,1,6.0,1,1.92,-0.01,0.01,33.2,10.505018428635026,0.9868722577556648,24.93424066678346,34.95705419143297,25.817665285135952,641355,batter,2025-06-21T20:58:12.694704
KC,2024-09-07,83.5,-1.14,5.8,"Bellinger, Cody",641355,657376,,ball,,,,,13,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,R,CHC,NYY,B,,,2,2,2024,1.44,-0.91,-1.18,2.24,,,683737.0,2,1,Bot,,,,,,,-2.9017640946785863,-121.46197022998248,0.0753007350442001,14.750946477720811,25.821961173423073,-41.389410345132035,3.68,1.78,,,,82.4,3041,5.8,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.72,,,,,,,,9,5,Knuckle Curve,0,1,0,1,1,0,0,1,Infield shade,Standard,46,0.0,0.085,,,,-0.085,,-1,-1,0.416,0.416,28,28,28,29,1,0,104.0,1,6.0,1,4.21,-1.44,1.44,44.8,,,,,,641355,batter,2025-06-21T20:58:12.694704
FC,2024-09-07,94.0,-1.53,5.58,"Bellinger, Cody",641355,657376,,foul,,,,,4,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,R,CHC,NYY,S,,,2,1,2024,0.09,0.74,-0.76,2.8,,,683737.0,2,1,Bot,,,,,,,1.803155810314436,-137.00183183087893,-3.179149326926044,0.7447656253927838,27.29523564529982,-22.327254118912712,3.84,1.78,194.0,81.8,68.0,94.3,2680,6.2,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.32,,,,,,,,9,4,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,207,0.0,-0.072,69.5,8.0,,0.072,88.0,-1,-1,0.416,0.416,28,28,28,29,1,0,104.0,1,6.0,1,1.81,-0.09,0.09,37.4,19.111941338201827,-4.036710361258255,31.35832269795594,39.08996274996901,30.510856203846025,641355,batter,2025-06-21T20:58:12.694704
ST,2024-09-07,87.1,-1.76,5.37,"Bellinger, Cody",641355,657376,,called_strike,,,,,4,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,R,CHC,NYY,S,,,2,0,2024,0.72,0.51,-0.68,2.94,,,683737.0,2,1,Bot,,,,,,,1.1248248777457712,-126.91600357762972,-0.7272049542665688,7.551872796243541,25.28631815853261,-26.73764323192109,3.58,1.79,,,,87.1,2998,6.1,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.37,,,,,,,,9,3,Sweeper,0,1,0,1,1,0,0,1,Infield shade,Standard,96,0.0,-0.048,,,,0.048,,-1,-1,0.416,0.416,28,28,28,29,1,0,104.0,1,6.0,1,2.48,-0.72,0.72,27.5,,,,,,641355,batter,2025-06-21T20:58:12.694704
FC,2024-09-07,93.2,-1.46,5.65,"Bellinger, Cody",641355,657376,,ball,,,,,11,"Cody Bellinger grounds out, second baseman Gleyber Torres to first baseman Anthony Rizzo.",R,L,R,CHC,NYY,B,,,1,0,2024,0.18,0.63,-1.14,3.81,,,683737.0,2,1,Bot,,,,,,,0.4407750617548479,-135.9503713648196,-0.4537060685764145,2.1235805423085283,25.35175459405311,-24.408258978813596,3.66,1.79,,,,93.3,2672,5.9,746829,669224,519203,650402,665862,683011,657077,592450,665742,54.59,,,,,,,,9,2,Cutter,0,1,0,1,1,0,0,1,Infield shade,Standard,191,0.0,0.05,,,,-0.05,,-1,-1,0.416,0.416,28,28,28,29,1,0,104.0,1,6.0,1,1.95,-0.18,0.18,34.1,,,,,,641355,batter,2025-06-21T20:58:12.694704
