pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
FF,2024-09-07,93.2,-1.06,5.78,"Freeman, Freddie",518692,658648,strikeout,called_strike,,,,,4,Freddie Freeman called out on strikes.,R,L,R,LAD,CLE,S,2.0,,1,2,2024,-0.2,1.04,-0.68,2.71,,,,1,2,Bot,,,,,,,1.3956248595402934,-135.76492899896118,-4.456269491582967,-2.7289214232482126,28.50795676925343,-18.47757825573108,3.65,1.72,,,,93.4,2120,6.3,746099,595978,647304,665926,608070,677587,680757,682177,657041,54.25,,0.0,0.0,1.0,0.0,0.0,,21,5,4-Seam Fastball,6,2,6,2,2,6,6,2,Strategic,Standard,210,-0.006,-0.182,,,,0.182,,4,4,0.878,0.878,27,34,27,35,1,1,3,1,3,1,1.56,0.2,-0.2,43.4,,,,,,518692,batter,2025-06-21T20:44:22.901925
SI,2024-09-07,93.2,-1.12,5.74,"Freeman, Freddie",518692,658648,,foul,,,,,6,Freddie Freeman called out on strikes.,R,L,R,LAD,CLE,S,,,1,2,2024,-1.07,0.46,0.39,2.62,,,,1,2,Bot,,,,,,,6.1961503612981605,-135.6520580126521,-3.2746798266675357,-14.54903674049206,28.36834301060478,-25.998414735013707,3.68,1.77,4.0,77.4,-33.0,93.1,2219,6.1,746099,595978,647304,665926,608070,677587,680757,682177,657041,54.36,,,,,,,,21,4,Sinker,6,2,6,2,2,6,6,2,Strategic,Standard,221,0.0,0.0,71.4,6.0,,0.0,88.0,4,4,0.878,0.878,27,34,27,35,1,1,3,1,3,1,2.15,1.07,-1.07,43.1,5.364612859188155,7.357752898821523,44.23192759953708,33.39022092990044,24.060453329279383,518692,batter,2025-06-21T20:44:22.901925
CU,2024-09-07,78.1,-1.11,5.78,"Freeman, Freddie",518692,658648,,ball,,,,,14,Freddie Freeman called out on strikes.,R,L,R,LAD,CLE,B,,,0,2,2024,0.78,-1.1,1.4,0.63,,,,1,2,Bot,,,,,,,3.9717711109116896,-113.77367057013612,-2.1974138818154656,6.053891645281889,20.845097725199945,-41.527649916538216,3.68,1.77,,,,78.1,2787,6.2,746099,595978,647304,665926,608070,677587,680757,682177,657041,54.25,,,,,,,,21,3,Curveball,6,2,6,2,2,6,6,2,Strategic,Standard,26,0.0,0.02,,,,-0.02,,4,4,0.878,0.878,27,34,27,35,1,1,3,1,3,1,4.83,-0.78,0.78,46.0,,,,,,518692,batter,2025-06-21T20:44:22.901925
CH,2024-09-07,82.6,-1.37,5.74,"Freeman, Freddie",518692,658648,,foul,,,,,4,Freddie Freeman called out on strikes.,R,L,R,LAD,CLE,S,,,0,1,2024,-0.2,0.22,-0.46,2.48,,,,1,2,Bot,,,,,,,2.467671461552833,-120.34036584304484,-1.3910905559271622,-2.4305434999943887,22.566818105546098,-29.94700586863986,3.68,1.77,157.0,66.1,28.0,82.3,1465,6.0,746099,595978,647304,665926,608070,677587,680757,682177,657041,54.54,,,,,,,,21,2,Changeup,6,2,6,2,2,6,6,2,Strategic,Standard,204,0.0,-0.057,69.2,6.2,,0.057,88.0,4,4,0.878,0.878,27,34,27,35,1,1,3,1,3,1,3.1,0.2,-0.2,40.3,-11.292434552452267,22.44763376708328,44.12925399445474,43.32222853761516,17.612892770432765,518692,batter,2025-06-21T20:44:22.901925
CH,2024-09-07,82.2,-1.41,5.78,"Freeman, Freddie",518692,658648,,called_strike,,,,,8,Freddie Freeman called out on strikes.,R,L,R,LAD,CLE,S,,,0,0,2024,-0.5,0.16,-0.17,1.76,,,,1,2,Bot,,,,,,,3.7742702741653664,-119.5978846543256,-2.8421759227747474,-5.587585213054679,24.168156698164832,-30.333388090305903,3.62,1.7,,,,81.5,1310,5.9,746099,595978,647304,665926,608070,677587,680757,682177,657041,54.6,,,,,,,,21,1,Changeup,6,2,6,2,2,6,6,2,Strategic,Standard,210,0.0,-0.037,,,,0.037,,4,4,0.878,0.878,27,34,27,35,1,1,3,1,3,1,3.23,0.5,-0.5,40.5,,,,,,518692,batter,2025-06-21T20:44:22.901925
FF,2024-09-07,98.0,-2.84,5.87,"Freeman, Freddie",518692,668909,walk,ball,,,,,12,Freddie Freeman walks. Mookie Betts to 2nd.,R,L,R,LAD,CLE,B,,,3,0,2024,-0.81,1.22,1.07,3.08,,,605141.0,1,1,Bot,,,,,,,12.559875696866596,-142.2019397780203,-4.905453094528124,-13.822178322836123,31.49033305265714,-14.606405366757492,3.68,1.73,,,,99.1,2384,7.0,746099,595978,647304,665926,608070,677587,680757,682177,657041,53.55,,0.689131,0.7,1.0,0.0,0.0,,7,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,223,0.035,0.12,,,,-0.12,,0,0,0.55,0.55,24,34,25,35,1,0,5,1,5,1,1.16,0.81,-0.81,33.5,,,,,,518692,batter,2025-06-21T20:44:22.901925
FF,2024-09-07,98.6,-2.85,5.65,"Freeman, Freddie",518692,668909,,ball,,,,,12,Freddie Freeman walks. Mookie Betts to 2nd.,R,L,R,LAD,CLE,B,,,2,0,2024,-0.81,0.99,1.14,3.38,,,605141.0,1,1,Bot,,,,,,,12.865994602532314,-143.0951990936131,-3.06374660305654,-14.004156086723798,31.393948897705616,-17.99650374736237,3.68,1.84,,,,99.9,2291,7.0,746099,595978,647304,665926,608070,677587,680757,682177,657041,53.47,,,,,,,,7,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,221,0.0,0.102,,,,-0.102,,0,0,0.55,0.55,24,34,25,35,1,0,5,1,5,1,1.36,0.81,-0.81,31.9,,,,,,518692,batter,2025-06-21T20:44:22.901925
CH,2024-09-07,89.6,-3.07,5.78,"Freeman, Freddie",518692,668909,,ball,,,,,13,Freddie Freeman walks. Mookie Betts to 2nd.,R,L,R,LAD,CLE,B,,,1,0,2024,-1.22,0.74,-0.32,1.07,,,605141.0,1,1,Bot,,,,,,,9.534438045556405,-130.140528951233,-7.370749864634048,-15.778729997575187,25.009529717486927,-22.348118590499055,3.68,1.87,,,,91.4,1838,7.3,746099,595978,647304,665926,608070,677587,680757,682177,657041,53.19,,,,,,,,7,2,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,243,0.0,0.056,,,,-0.056,,0,0,0.55,0.55,24,34,25,35,1,0,5,1,5,1,2.09,1.22,-1.22,32.7,,,,,,518692,batter,2025-06-21T20:44:22.901925
FF,2024-09-07,97.0,-2.72,5.8,"Freeman, Freddie",518692,668909,,ball,,,,,14,Freddie Freeman walks. Mookie Betts to 2nd.,R,L,R,LAD,CLE,B,,,0,0,2024,-1.0,1.09,1.11,2.59,,,605141.0,1,1,Bot,,,,,,,12.676925232745296,-140.70359105453448,-5.596928576199916,-16.040741936317932,30.44561226053092,-16.52549189948898,3.68,1.87,,,,98.3,2317,7.1,746099,595978,647304,665926,608070,677587,680757,682177,657041,53.4,,,,,,,,7,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0.0,0.036,,,,-0.036,,0,0,0.55,0.55,24,34,25,35,1,0,5,1,5,1,1.34,1.0,-1.0,34.2,,,,,,518692,batter,2025-06-21T20:44:22.901925
SI,2024-09-07,95.0,2.02,5.44,"Freeman, Freddie",518692,682120,single,hit_into_play,,,,,6,Freddie Freeman singles on a ground ball to center fielder Daniel Schneemann.,R,L,L,LAD,CLE,X,8.0,ground_ball,0,1,2024,1.11,0.03,0.34,2.4,,,,1,7,Bot,144.31,105.21,,,,,-6.918435492445271,-138.1561483530474,-2.3855375567292643,15.74387019252789,31.251377914582193,-31.397658142608357,3.68,1.77,11.0,99.9,-12.0,95.4,2088,6.6,746099,595978,647304,665926,608070,677587,680757,682177,657041,53.93,0.237,0.212,0.9,1.0,1.0,0.0,2.0,62,2,Sinker,7,2,7,2,2,7,7,2,Infield shade,Standard,123,0.002,0.458,68.8,6.3,0.257,-0.458,99.9,5,5,0.986,0.986,27,34,28,35,1,3,6,1,1,1,2.5,1.11,1.11,22.6,1.07603255429576,15.439667424411969,42.8421415527833,36.74063532841557,17.417785847650425,518692,batter,2025-06-21T20:44:22.901925
FF,2024-09-07,93.5,1.37,5.95,"Freeman, Freddie",518692,681870,strikeout,swinging_strike,,,,,5,Freddie Freeman strikes out swinging.,R,L,L,LAD,CLE,S,2.0,,2,2,2024,0.5,1.62,0.21,2.42,,,,2,4,Bot,,,,,,,-4.129185553191966,-136.00659215782102,-6.9481301011798005,7.16101472509139,30.990659448368035,-10.782470184458184,3.68,1.77,,,,94.0,2713,6.7,746099,595978,647304,665926,608070,677587,680757,682177,657041,53.8,,0.0,0.0,1.0,0.0,0.0,,41,6,4-Seam Fastball,7,2,7,2,2,7,7,2,Strategic,Standard,158,-0.002,-0.219,67.3,6.1,,0.219,,5,5,0.945,0.945,26,34,27,35,1,2,3,1,3,1,1.0,0.5,0.5,51.2,-13.578475255399152,18.90831073145396,52.01914097467734,36.94169128438414,7.083791453123587,518692,batter,2025-06-21T20:44:22.901925
