pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
ST,2024-09-06,85.6,-3.35,5.44,"Tucker, Kyle",663656,694297,strikeout,swinging_strike,,,,,14,Kyle Tucker strikes out swinging.,R,L,R,HOU,AZ,S,2.0,,2,2,2024,0.83,0.57,1.03,1.63,,,673237.0,0,5,Bot,,,,,,,8.733330176814471,-124.32190876793024,-3.8430500433879864,6.817182374834244,25.555395995098703,-25.687098015031193,3.49,1.61,,,,86.1,2891,6.8,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.72,,0.0,0.0,1.0,0.0,0.0,,40,5,Sweeper,4,0,4,0,0,4,4,0,Infield shade,Standard,90,-0.007,-0.228,72.2,9.1,,0.228,,4,4,0.945,0.945,25,27,26,27,3,2,5,95,8,2,2.56,-0.83,0.83,22.3,38.66723030031904,-46.15798429952151,44.27179276274987,25.487447564811777,47.88437870048127,663656,batter,2025-06-21T20:58:02.499424
SI,2024-09-06,92.1,-3.36,5.36,"Tucker, Kyle",663656,694297,,foul,,,,,7,Kyle Tucker strikes out swinging.,R,L,R,HOU,AZ,S,,,2,1,2024,-1.52,0.24,-0.66,2.05,,,673237.0,0,5,Bot,,,,,,,10.211405489373028,-133.61445657837527,-3.029337598033371,-20.522921628061756,30.625252240297325,-28.80859315921799,3.49,1.61,1.0,75.2,-56.0,92.3,2480,6.7,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.77,,,,,,,,40,4,Sinker,4,0,4,0,0,4,4,0,Infield shade,Standard,233,0.0,-0.048,63.6,7.2,,0.048,88.0,4,4,0.945,0.945,25,27,26,27,3,2,5,95,8,2,2.48,1.52,-1.52,22.6,-2.427927780933573,11.243584903362065,34.34602674333714,44.84199983907928,16.966513108163472,663656,batter,2025-06-21T20:58:02.499424
CH,2024-09-06,87.7,-3.22,5.59,"Tucker, Kyle",663656,694297,,called_strike,,,,,7,Kyle Tucker strikes out swinging.,R,L,R,HOU,AZ,S,,,2,0,2024,-1.49,0.37,-0.33,1.56,,,673237.0,0,5,Bot,,,,,,,10.131222070962382,-127.25583843248216,-4.343572476375787,-18.28947532180155,27.056187510107417,-27.435225609784897,3.41,1.56,,,,88.1,2133,6.8,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.71,,,,,,,,40,3,Changeup,4,0,4,0,0,4,4,0,Infield shade,Standard,232,0.0,-0.074,,,,0.074,,4,4,0.945,0.945,25,27,26,27,3,2,5,95,8,2,2.62,1.49,-1.49,29.6,,,,,,663656,batter,2025-06-21T20:58:02.499424
CH,2024-09-06,87.8,-3.25,5.37,"Tucker, Kyle",663656,694297,,blocked_ball,,,,,14,Kyle Tucker strikes out swinging.,R,L,R,HOU,AZ,B,,,1,0,2024,-1.48,0.38,0.27,0.27,,,673237.0,0,5,Bot,,,,,,,11.626889485984313,-127.08033673528992,-6.947235496044871,-18.492426656937397,28.27173355831623,-26.62636547817558,3.34,1.56,,,,87.8,2008,6.8,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.74,,,,,,,,40,2,Changeup,4,0,4,0,0,4,4,0,Infield shade,Standard,239,0.0,0.068,,,,-0.068,,4,4,0.945,0.945,25,27,26,27,3,2,5,95,8,2,2.63,1.48,-1.48,22.4,,,,,,663656,batter,2025-06-21T20:58:02.499424
ST,2024-09-06,85.5,-3.52,5.48,"Tucker, Kyle",663656,694297,,ball,,,,,14,Kyle Tucker strikes out swinging.,R,L,R,HOU,AZ,B,,,0,0,2024,1.1,0.53,0.85,1.59,,,673237.0,0,5,Bot,,,,,,,8.118516832622417,-124.21740675802528,-3.8750271711494833,9.47070527766456,27.800879001936572,-26.103406404431237,3.44,1.65,,,,85.5,2926,6.6,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.87,,,,,,,,40,1,Sweeper,4,0,4,0,0,4,4,0,Infield shade,Standard,83,0.0,0.042,,,,-0.042,,4,4,0.945,0.945,25,27,26,27,3,2,5,95,8,2,2.63,-1.1,1.1,23.6,,,,,,663656,batter,2025-06-21T20:58:02.499424
CH,2024-09-06,86.2,-3.13,5.4,"Tucker, Kyle",663656,694297,walk,ball,,,,,14,Kyle Tucker walks.,R,L,R,HOU,AZ,B,,,3,1,2024,-1.45,0.2,0.03,1.39,,673237.0,,1,3,Bot,,,,,,,10.554606945154871,-125.06643585475793,-3.6266579871965847,-17.388175085111605,27.23377994243742,-29.5344047181064,3.34,1.61,,,,86.7,2059,6.9,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.56,,0.689131,0.7,1.0,0.0,0.0,,24,5,Changeup,1,0,1,0,0,1,1,0,Standard,Standard,237,0.015,0.124,,,,-0.124,,1,1,0.691,0.691,25,27,26,27,2,1,5,95,8,2,2.91,1.45,-1.45,21.5,,,,,,663656,batter,2025-06-21T20:58:02.499424
FF,2024-09-06,93.4,-3.24,5.58,"Tucker, Kyle",663656,694297,,ball,,,,,11,Kyle Tucker walks.,R,L,R,HOU,AZ,B,,,2,1,2024,-0.9,1.17,-0.4,3.91,,673237.0,,1,3,Bot,,,,,,,9.319722925754371,-135.68419013644424,-1.0928631902746888,-13.109871477201162,29.591205974743804,-17.702910109616784,3.44,1.65,,,,93.8,2516,6.6,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.89,,,,,,,,24,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,227,0.0,0.078,,,,-0.078,,1,1,0.691,0.691,25,27,26,27,2,1,5,95,8,2,1.45,0.9,-0.9,24.6,,,,,,663656,batter,2025-06-21T20:58:02.499424
CU,2024-09-06,81.2,-2.98,5.72,"Tucker, Kyle",663656,694297,,called_strike,,,,,9,Kyle Tucker walks.,R,L,R,HOU,AZ,S,,,2,0,2024,1.05,-0.84,0.31,1.63,,673237.0,,1,3,Bot,,,,,,,5.389526059723362,-118.1254938139233,-0.8487368554832827,8.588267298416774,25.112329628704984,-40.00014314372473,3.34,1.56,,,,81.5,2517,6.8,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.73,,,,,,,,24,3,Curveball,1,0,1,0,0,1,1,0,Standard,Standard,50,0.0,-0.047,,,,0.047,,1,1,0.691,0.691,25,27,26,27,2,1,5,95,8,2,4.33,-1.05,1.05,31.5,,,,,,663656,batter,2025-06-21T20:58:02.499424
FF,2024-09-06,93.2,-2.92,5.7,"Tucker, Kyle",663656,694297,,ball,,,,,12,Kyle Tucker walks.,R,L,R,HOU,AZ,B,,,1,0,2024,-0.53,1.25,0.39,4.53,,673237.0,,1,3,Bot,,,,,,,9.754443956648016,-135.39310144798722,0.0631405424307085,-8.706955114904426,30.73577277719646,-17.058808449727536,3.34,1.65,,,,93.8,2562,6.8,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.65,,,,,,,,24,2,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,221,0.0,0.042,,,,-0.042,,1,1,0.691,0.691,25,27,26,27,2,1,5,95,8,2,1.39,0.53,-0.53,31.4,,,,,,663656,batter,2025-06-21T20:58:02.499424
FF,2024-09-06,93.7,-3.15,5.67,"Tucker, Kyle",663656,694297,,ball,,,,,11,Kyle Tucker walks.,R,L,R,HOU,AZ,B,,,0,0,2024,-0.89,1.08,-0.4,4.31,,673237.0,,1,3,Bot,,,,,,,9.12432007808651,-136.2558025616735,-0.1822688537822389,-13.094962110778216,29.333863183575954,-18.851513742745105,3.44,1.71,,,,94.4,2557,6.7,746343,645444,572233,621028,553993,672695,545341,664983,682998,53.81,,,,,,,,24,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard,222,0.0,0.027,,,,-0.027,,1,1,0.691,0.691,25,27,26,27,2,1,5,95,8,2,1.51,0.89,-0.89,27.6,,,,,,663656,batter,2025-06-21T20:58:02.499424
