pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,player_id,player_type,fetch_date
SI,2024-09-07,93.0,-0.85,5.97,"Chisholm Jr., Jazz",665862,665871,single,hit_into_play,,,,,1,Jazz Chisholm Jr. singles on a ground ball to second baseman Nico Hoerner. Aaron Judge to 2nd.,R,L,R,CHC,NYY,X,4.0,ground_ball,1,2,2024,-1.34,0.72,-0.68,3.03,,,592450.0,2,6,Top,144.41,140.93,,,,,3.4036103522880503,-135.51299216743638,-3.4063419490948803,-17.34454248946923,27.390698899473417,-22.73964586007227,3.58,1.62,10.0,97.6,-17.0,93.6,1981,6.4,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.07,0.169,0.186,0.9,1.0,1.0,0.0,2.0,43,4,Sinker,0,1,1,0,1,0,1,0,Infield shade,Standard,208,-0.021,0.431,70.0,7.4,0.169,-0.431,97.6,-1,1,0.361,0.639,26,26,27,26,3,2,7,1,6.0,1,1.89,1.34,-1.34,51.9,4.358633952982764,3.845513867389545,24.219681151286633,40.357249268326505,24.09296280392748,665862,batter,2025-06-21T20:57:20.531233
SI,2024-09-07,93.8,-0.57,6.01,"Chisholm Jr., Jazz",665862,665871,,ball,,,,,14,Jazz Chisholm Jr. singles on a ground ball to second baseman Nico Hoerner. Aaron Judge to 2nd.,R,L,R,CHC,NYY,B,,,0,2,2024,-1.16,0.75,1.01,1.86,,,592450.0,2,6,Top,,,,,,,6.6517515696511085,-136.42665040856895,-6.734803718289966,-15.876480834780097,27.418650385789224,-21.526253097212415,3.58,1.72,,,,94.5,2083,6.5,746829,542194,683737,663538,621550,621020,664023,691718,641355,53.97,,,,,,,,43,3,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,206,0.0,0.027,,,,-0.027,,-1,1,0.361,0.639,26,26,27,26,3,2,7,1,6.0,1,1.82,1.16,-1.16,55.6,,,,,,665862,batter,2025-06-21T20:57:20.531233
FC,2024-09-07,89.8,-1.18,5.84,"Chisholm Jr., Jazz",665862,665871,,foul_bunt,,,,,4,Jazz Chisholm Jr. singles on a ground ball to second baseman Nico Hoerner. Aaron Judge to 2nd.,R,L,R,CHC,NYY,S,,,0,1,2024,0.0,1.16,-0.53,2.94,,,592450.0,2,6,Top,,,,,,,1.6265603471454142,-130.75933859700012,-3.661794195697341,-0.3522843494627748,27.493176189491837,-18.310186043438826,3.58,1.62,5.0,,,90.0,2125,6.4,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.14,,,,,,,,43,2,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,184,0.0,-0.054,5.5,1.4,,0.054,88.0,-1,1,0.361,0.639,26,26,27,26,3,2,7,1,6.0,1,1.66,0.0,0.0,45.2,-19.159818050352836,-158.34264385501135,22.262817784522884,40.958735318457386,23.453494358077773,665862,batter,2025-06-21T20:57:20.531233
FC,2024-09-07,89.0,-1.29,5.74,"Chisholm Jr., Jazz",665862,665871,,called_strike,,,,,9,Jazz Chisholm Jr. singles on a ground ball to second baseman Nico Hoerner. Aaron Judge to 2nd.,R,L,R,CHC,NYY,S,,,0,0,2024,0.36,0.96,0.3,1.88,,,592450.0,2,6,Top,,,,,,,3.1695272773871626,-129.54615925645572,-5.494104024024322,3.4043393456698143,25.80263395512561,-20.42729474335567,3.53,1.71,,,,89.5,2017,6.5,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.04,,,,,,,,43,1,Cutter,0,1,1,0,1,0,1,0,Infield shade,Standard,202,0.0,-0.047,,,,0.047,,-1,1,0.361,0.639,26,26,27,26,3,2,7,1,6.0,1,1.9,-0.36,0.36,44.8,,,,,,665862,batter,2025-06-21T20:57:20.531233
SI,2024-09-07,91.7,-0.65,6.0,"Chisholm Jr., Jazz",665862,665871,field_out,hit_into_play,,,,,2,Jazz Chisholm Jr. flies out to left fielder Ian Happ.,R,L,R,CHC,NYY,X,7.0,fly_ball,0,2,2024,-0.87,1.15,-0.22,3.1,,,669224.0,1,4,Top,54.08,92.06,,,,,2.977828343777107,-133.5640571103163,-4.051550302728375,-11.12809747858558,26.033469308467566,-17.649191216841455,3.58,1.62,319.0,97.5,24.0,92.5,2023,6.5,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.0,0.274,0.394,0.0,1.0,0.0,0.0,5.0,26,3,Sinker,0,1,1,0,1,0,1,0,Infield shade,Standard,205,0.028,-0.163,65.2,6.9,0.671,0.163,97.5,-1,1,0.369,0.631,26,26,27,26,2,1,7,1,6.0,1,1.53,0.87,-0.87,54.8,7.404299497823791,7.071851565555131,34.341069084816674,35.63787033230769,17.972558840155514,665862,batter,2025-06-21T20:57:20.531233
FC,2024-09-07,88.4,-0.97,5.88,"Chisholm Jr., Jazz",665862,665871,,swinging_strike,,,,,1,Jazz Chisholm Jr. flies out to left fielder Ian Happ.,R,L,R,CHC,NYY,S,,,0,1,2024,0.35,0.95,-0.62,3.34,,,669224.0,1,4,Top,,,,,,,0.1245397006761186,-128.78959759671287,-2.150602030159535,3.856217851099205,25.27472804546444,-21.361069462963645,3.58,1.62,,,,88.9,1991,6.4,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.08,,,,,,,,26,2,Cutter,0,1,1,0,1,0,1,0,Standard,Standard,186,0.0,-0.052,68.7,6.3,,0.052,,-1,1,0.369,0.631,26,26,27,26,2,1,7,1,6.0,1,1.95,-0.35,0.35,48.4,-2.9224857258379315,30.059066286640117,31.805232057975267,40.41457108802162,7.805119819527398,665862,batter,2025-06-21T20:57:20.531233
SI,2024-09-07,91.3,-0.91,6.02,"Chisholm Jr., Jazz",665862,665871,,called_strike,,,,,1,Jazz Chisholm Jr. flies out to left fielder Ian Happ.,R,L,R,CHC,NYY,S,,,0,0,2024,-1.24,1.05,-0.51,3.25,,,669224.0,1,4,Top,,,,,,,3.6841142423837594,-132.87957639457292,-3.3561084476389684,-15.512266915103728,28.77129761696038,-19.17074383565222,3.58,1.72,,,,91.5,1877,6.4,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.06,,,,,,,,26,1,Sinker,0,1,1,0,1,0,1,0,Standard,Standard,201,0.0,-0.04,,,,0.04,,-1,1,0.369,0.631,26,26,27,26,2,1,7,1,6.0,1,1.68,1.24,-1.24,51.4,,,,,,665862,batter,2025-06-21T20:57:20.531233
SI,2024-09-07,89.8,-1.04,6.01,"Chisholm Jr., Jazz",665862,665871,field_out,hit_into_play,,,,,5,Jazz Chisholm Jr. flies out to left fielder Ian Happ.,R,L,R,CHC,NYY,X,7.0,fly_ball,3,2,2024,-1.23,0.71,0.09,2.56,,,,0,2,Top,71.19,74.35,,,,,5.4151939708298915,-130.65416980150528,-4.042713146140535,-15.271713976643012,28.839618707190983,-23.36437739914828,3.58,1.62,337.0,94.5,29.0,89.7,1867,6.3,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.15,0.191,0.311,0.0,1.0,0.0,0.0,5.0,10,6,Sinker,0,1,1,0,1,0,1,0,Infield shade,Standard,213,0.02,-0.333,70.3,7.0,0.565,0.333,94.5,-1,1,0.392,0.608,26,26,27,26,1,0,7,1,6.0,1,2.13,1.23,-1.23,49.6,1.51480500945954,8.14448127847416,40.57308425163586,31.82783682397992,26.20419989492121,665862,batter,2025-06-21T20:57:20.531233
FC,2024-09-07,86.0,-1.3,5.86,"Chisholm Jr., Jazz",665862,665871,,foul,,,,,5,Jazz Chisholm Jr. flies out to left fielder Ian Happ.,R,L,R,CHC,NYY,S,,,3,1,2024,0.34,0.65,-0.25,2.65,,,,0,2,Top,,,,,,,1.797905975621221,-125.30372300577316,-2.7321845242807905,3.258586283033118,23.040813190490297,-24.97406225153569,3.58,1.62,206.0,68.8,29.0,86.3,1905,6.2,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.31,,,,,,,,10,5,Cutter,0,1,1,0,1,0,1,0,Infield shade,Standard,184,0.0,-0.085,69.8,7.1,,0.085,88.0,-1,1,0.392,0.608,26,26,27,26,1,0,7,1,6.0,1,2.4,-0.34,0.34,46.3,5.229309685371374,20.67193383927526,42.72398298129415,37.59621475124014,17.901072014066145,665862,batter,2025-06-21T20:57:20.531233
CU,2024-09-07,72.8,-0.9,6.1,"Chisholm Jr., Jazz",665862,665871,,ball,,,,,11,Jazz Chisholm Jr. flies out to left fielder Ian Happ.,R,L,R,CHC,NYY,B,,,2,1,2024,1.23,-0.64,-1.03,3.91,,,,0,2,Top,,,,,,,-2.3588628784879195,-105.71414406930803,4.208693613471491,9.565953380906238,20.79338006307677,-38.01325382485208,3.59,1.78,,,,72.0,2409,6.1,746829,542194,683737,663538,621550,621020,664023,691718,641355,54.35,,,,,,,,10,4,Curveball,0,1,1,0,1,0,1,0,Infield shade,Standard,59,0.0,0.122,,,,-0.122,,-1,1,0.392,0.608,26,26,27,26,1,0,7,1,6.0,1,5.02,-1.23,1.23,56.6,,,,,,665862,batter,2025-06-21T20:57:20.531233
