player_name,position,actual_points,predicted_points
A.Brown,WR,257.20001220703125,256.39
D.Montgomery,RB,225.3199920654297,196.9
D.Knox,TE,67.5999984741211,72.61
J.Jacobs,RB,314.20001220703125,293.98
D.Lock,QB,80.13999938964844,83.42
D.Jones,QB,135.3000030517578,115.82
D.Samuel,WR,155.60000610351562,146.46
J.Hasty,RB,28.799999237060547,26.67
T.Jones,RB,11.5,11.74
P.Taylor,RB,29.799999237060547,36.89
T.Huntley,QB,60.65999984741211,58.91
J.Johnson,TE,122.80000305175781,116.78
R.Dowdle,RB,197.8000030517578,227.3
J.Dobbins,RB,194.39999389648438,180.19
N.Westbrook-Ikhine,WR,135.6999969482422,105.53
G.Davis,WR,53.900001525878906,56.06
T.Tagovailoa,QB,181.5800018310547,215.13
J.Taylor,RB,246.6999969482422,252.26
H.Bryant,TE,17.600000381469727,21.3
C.Parkinson,TE,77.5999984741211,102.84
Z.Moss,RB,81.9000015258789,86.47
M.Pittman,WR,165.8000030517578,192.34
J.Jennings,WR,210.5,213.81
B.Aiyuk,WR,62.400001525878906,69.31
J.Love,QB,237.33999633789062,245.01
L.Shenault,WR,14.699999809265137,12.08
D.Swift,RB,214.5,220.82
C.Kmet,TE,120.4000015258789,113.56
D.Mooney,WR,193.1999969482422,204.98
J.Jefferson,WR,328.2799987792969,304.14
A.Gibson,RB,103.4000015258789,107.47
D.Duvernay,WR,19.200000762939453,20.92
K.Osborn,WR,18.700000762939453,20.32
J.Herbert,QB,291.08001708984375,327.02
C.Lamb,WR,263.3999938964844,258.15
C.Edwards-Helaire,RB,10.0,13.61
J.Reagor,WR,14.699999809265137,21.93
J.Hurts,QB,411.55999755859375,265.23
J.Jeudy,WR,240.89999389648438,250.4
T.Higgins,WR,222.09999084472656,215.69
C.Akers,RB,97.0999984741211,79.26
V.Jefferson,WR,75.30000305175781,66.86
A.Trautman,TE,45.0,44.29
D.Dallas,RB,21.0,12.23
T.Johnson,WR,61.099998474121094,63.64
C.Woerner,TE,11.600000381469727,16.46
J.Burrow,QB,372.82000732421875,334.98
K.Yeboah,TE,15.700000762939453,13.11
D.Turner,WR,47.099998474121094,38.21
R.Bateman,WR,201.60000610351562,198.63
N.Collins,WR,248.90000915527344,248.68
C.Hubbard,RB,241.60000610351562,243.3
Q.Morris,TE,14.600000381469727,13.26
J.Waddle,WR,149.60000610351562,147.62
D.Brown,WR,108.30000305175781,109.91
J.Bates,TE,20.5,25.11
T.Wallace,WR,43.099998474121094,45.49
N.Gray,TE,118.80000305175781,113.29
S.Fehoko,WR,16.600000381469727,20.0
B.Wright,TE,35.0,28.42
T.Atwell,WR,101.69999694824219,110.61
B.Skowronek,WR,11.899999618530273,14.9
R.Stevenson,RB,175.89999389648438,170.1
K.Granson,TE,32.20000076293945,39.48
L.Farrell,TE,18.69999885559082,22.13
N.Harris,RB,213.40000915527344,229.95
P.Freiermuth,TE,172.8000030517578,147.36
J.Chase,WR,403.0,360.05
K.Herbert,RB,31.5,25.46
D.Smith,WR,240.39999389648438,221.45
K.Gainwell,RB,72.4000015258789,88.73
M.Carter,RB,35.79999923706055,28.11
J.Fields,QB,119.13999938964844,68.31
A.St. Brown,WR,337.8800048828125,324.87
K.Pitts,TE,131.1999969482422,127.36
T.Lawrence,QB,145.6999969482422,129.93
M.Jones,QB,96.08000183105469,101.02
T.Etienne,RB,130.1999969482422,129.79
E.Moore,WR,120.9000015258789,123.01
T.Sermon,RB,53.79999923706055,46.59
J.Palmer,WR,107.4000015258789,107.57
J.Williams,RB,164.1999969482422,141.18
H.Long,TE,21.299999237060547,17.24
T.Tremble,TE,56.400001525878906,58.75
T.Lance,QB,12.739999771118164,19.68
T.Badie,RB,10.199999809265137,14.95
G.Calcaterra,TE,61.20000076293945,67.5
B.Melton,WR,25.100000381469727,25.23
T.Goodson,RB,44.400001525878906,34.22
B.Covey,WR,10.399999618530273,18.47
I.Pacheco,RB,65.30000305175781,68.16
J.Warren,RB,130.60000610351562,127.06
K.Austin,WR,27.0,29.81
D.London,WR,280.79998779296875,280.0
C.Olave,WR,76.70000457763672,76.45
J.Williams,WR,225.1999969482422,213.81
G.Pickens,WR,184.10000610351562,200.79
J.Cook,RB,324.29998779296875,278.6
