game_date,player_id,at_bats,hits,doubles,triples,home_runs,walks,strikeouts,hit_by_pitch,batting_avg,fantasy_points,total_pitches,first_name,last_name,position,player_type,team,innings_pitched,hits_allowed,home_runs_allowed,walks_allowed,total_batters
2024-09-02,650402,5.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.6,11.0,21,Gleyber,Torres,2B,b,NYY,,,,,
2024-09-03,650402,5.0,2.0,1.0,0.0,0.0,1.0,1,0.0,0.4,9.0,24,Gleyber,Torres,2B,b,NYY,,,,,
2024-09-04,650402,5.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0.2,7.0,28,Gleyber,Torres,2B,b,NYY,,,,,
2024-09-06,650402,5.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.2,5.0,25,Gleyber,Torres,2B,b,NYY,,,,,
2024-09-07,650402,5.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.2,4.0,19,Gleyber,Torres,2B,b,NYY,,,,,
2024-09-01,543760,5.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,21,Marcus,Semien,2B,b,TEX,,,,,
2024-09-02,543760,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,15,Marcus,Semien,2B,b,TEX,,,,,
2024-09-03,543760,5.0,1.0,0.0,0.0,0.0,1.0,2,0.0,0.2,3.0,22,Marcus,Semien,2B,b,TEX,,,,,
2024-09-05,543760,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.5,6.0,15,Marcus,Semien,2B,b,TEX,,,,,
2024-09-06,543760,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.25,3.0,14,Marcus,Semien,2B,b,TEX,,,,,
2024-09-07,543760,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.25,3.0,13,Marcus,Semien,2B,b,TEX,,,,,
2024-09-01,665862,4.0,2.0,1.0,0.0,0.0,1.0,0,0.0,0.5,10.0,23,Jazz,Chisholm Jr.,2B,b,MIA,,,,,
2024-09-02,665862,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.5,6.0,20,Jazz,Chisholm Jr.,2B,b,MIA,,,,,
2024-09-03,665862,4.0,2.0,0.0,0.0,0.0,0.0,1,0.0,0.5,5.0,14,Jazz,Chisholm Jr.,2B,b,MIA,,,,,
2024-09-04,665862,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.2,3.0,16,Jazz,Chisholm Jr.,2B,b,MIA,,,,,
2024-09-06,665862,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,16,Jazz,Chisholm Jr.,2B,b,MIA,,,,,
2024-09-07,665862,4.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.25,3.0,17,Jazz,Chisholm Jr.,2B,b,MIA,,,,,
2024-09-01,592518,5.0,1.0,0.0,0.0,0.0,1.0,1,0.0,0.2,4.0,20,Manny,Machado,3B,b,SD,,,,,
2024-09-02,592518,4.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.25,2.0,12,Manny,Machado,3B,b,SD,,,,,
2024-09-04,592518,5.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.2,3.0,19,Manny,Machado,3B,b,SD,,,,,
2024-09-05,592518,4.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,14,Manny,Machado,3B,b,SD,,,,,
2024-09-06,592518,4.0,3.0,0.0,0.0,2.0,0.0,1,0.0,0.75,16.0,15,Manny,Machado,3B,b,SD,,,,,
2024-09-07,592518,4.0,2.0,0.0,0.0,0.0,0.0,1,0.0,0.5,5.0,11,Manny,Machado,3B,b,SD,,,,,
2024-09-01,646240,4.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.25,2.0,17,Rafael,Devers,3B,b,BOS,,,,,
2024-09-02,646240,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,16,Rafael,Devers,3B,b,BOS,,,,,
